Count_Cells,Mean_Area_percell,Genotype,Plant,Growth_Period,BAK1,SDA1,SAM_V
158,791.4493671,A554,1,G1,REF,REF,2502481.8
188,831.1223404,A554,1,G2,REF,REF,2502481.8
199,947.1708543,A554,1,G3,REF,REF,2502481.8
205,812.2780488,A554,2,G1,REF,REF,2502481.8
137,732.2627737,A554,2,G2,REF,REF,2502481.8
228,959.8991228,A554,2,G3,REF,REF,2502481.8
160,859.35,A554,3,G1,REF,REF,2502481.8
111,801.2612613,A554,3,G2,REF,REF,2502481.8
131,851.740458,A554,3,G3,REF,REF,2502481.8
72,794.1805556,B57,1,G1,REF,REF,461595.5
73,734.0410959,B57,1,G2,REF,REF,461595.5
75,776.4666667,B57,1,G3,REF,REF,461595.5
57,745.0701754,B57,2,G1,REF,REF,461595.5
63,803.6507937,B57,2,G2,REF,REF,461595.5
86,707.7209302,B57,2,G3,REF,REF,461595.5
94,797.1170213,B57,3,G2,REF,REF,461595.5
74,691.3378378,B57,3,G3,REF,REF,461595.5
68,811.7352941,B57,4,G2,REF,REF,461595.5
150,793.2533333,B73,1,G1,REF,REF,1676948.8
178,766.3258427,B73,1,G2,REF,REF,1676948.8
149,744.5436242,B73,1,G3,REF,REF,1676948.8
216,753.8425926,B73,2,G1,REF,REF,1676948.8
201,774.1144279,B73,2,G2,REF,REF,1676948.8
157,840.2038217,B73,2,G3,REF,REF,1676948.8
206,774.9223301,B73,3,G1,REF,REF,1676948.8
167,846.8802395,B73,3,G2,REF,REF,1676948.8
177,812.180791,B73,3,G3,REF,REF,1676948.8
163,786.3558282,B73,4,G3,REF,REF,1676948.8
115,844.3565217,CML261,1,G1,TAS,REF,1227928.2
145,856.0275862,CML261,1,G2,TAS,REF,1227928.2
128,866.1640625,CML261,1,G3,TAS,REF,1227928.2
134,755.2462687,CML261,2,G1,TAS,REF,1227928.2
142,834.7042254,CML261,2,G2,TAS,REF,1227928.2
82,936,CML261,2,G3,TAS,REF,1227928.2
106,816.6226415,CML261,3,G1,TAS,REF,1227928.2
146,833.5753425,CML261,3,G2,TAS,REF,1227928.2
117,847.4102564,CML261,3,G3,TAS,REF,1227928.2
147,791.7210884,CML261,4,G3,TAS,REF,1227928.2
61,821.1639344,CML322,1,G1,REF,REF,489637.9
68,793.75,CML322,1,G2,REF,REF,489637.9
88,695.75,CML322,1,G3,REF,REF,489637.9
74,808.3918919,CML322,2,G1,REF,REF,489637.9
64,744.0625,CML322,2,G2,REF,REF,489637.9
88,828.0227273,CML322,2,G3,REF,REF,489637.9
79,794.7594937,CML322,3,G2,REF,REF,489637.9
87,761.5402299,CML322,3,G3,REF,REF,489637.9
77,773.0519481,CML322,4,G2,REF,REF,489637.9
100,879.57,CML333,1,G1,REF,REF,993151.1
93,937.3548387,CML333,1,G2,REF,REF,993151.1
101,920.2970297,CML333,1,G3,REF,REF,993151.1
83,847.0361446,CML333,2,G1,REF,REF,993151.1
104,858.9807692,CML333,2,G2,REF,REF,993151.1
115,859.9652174,CML333,2,G3,REF,REF,993151.1
142,759.2887324,CML333,3,G2,REF,REF,993151.1
80,918.2125,CML333,3,G3,REF,REF,993151.1
116,850.3103448,CML333,4,G2,REF,REF,993151.1
