AcID,fullid,Pop,Ind,genomesize,leaf3.0,leaf3.1,leaf3.2,leaf3.3,dailyavg3,leaf4.0,leaf4.1,leaf4.2,leaf4.3,dailyavg4,dailyavgall,adjcs3,adjcs4,adjavg,m3,m4,mavg
1-1,1_1,1,1,6.11,1.7,6.6,11.3,17.6,5.3,5,8.3,12.5,16.4,3.8,4.55,,,,,,
1-4,1_4,1,4,6.29,5.3,9.6,18,NA,6.35,9.6,15.2,20.7,26.5,5.633333333,5.991666667,,,,,,
1-5,1_5,1,5,5.92,9.4,10.8,12,12.5,1.033333333,4.4,7.5,11,20.4,5.333333333,3.183333333,,,,,,
1-6,1_6,1,6,5.72,3.5,7,11.5,NA,4,4.8,8.6,12.8,18,4.4,4.2,,,,,,
1-7,1_7,1,7,5.91,5.8,8,10.2,11.9,2.033333333,4.5,7.8,11.1,15.1,3.533333333,2.783333333,,,,,,
1-8,1_8,1,8,6.14,4.9,7.7,11.3,14.6,3.233333333,5.4,9,14.1,19.2,4.6,3.916666667,,,,,,
1-11,1_11,1,11,5.98,1,3.7,7.6,12.7,3.9,14.8,20.6,26.3,32.2,5.8,4.85,,,,,,
1-12,1_12,1,12,5.94,3,6.8,11.1,16.2,4.4,7.9,12.4,17.4,22.6,4.9,4.65,,,,,,
1-14,1_14,1,14,5.86,7,11.3,16.3,20.5,4.5,9.3,14,20.5,26.3,5.666666667,5.083333333,,,,,,
11-2,11_2,11,2,5.92,7.6,9,12.6,17.9,3.433333333,12.2,19.3,26.9,32.6,6.8,5.116666667,,,,,,
11-3,11_3,11,3,5.80,2.5,6.9,11.6,16.8,4.766666667,6,11.3,16.1,22.9,5.633333333,5.2,,,,,,
11-4,11_4,11,4,5.80,6.4,11.3,17,21.2,4.933333333,10,16.5,22.5,30.1,6.7,5.816666667,,,,,,
11-6,11_6,11,6,5.84,2.9,6.1,9.6,13.5,3.533333333,6.5,10.6,15.5,21.8,5.1,4.316666667,,,,,,
3-2,3_2,3,2,6.26,7.7,9.4,14.8,17,3.1,9,13.3,21.2,24,5,4.05,,,,,,
3-4,3_4,3,4,6.05,7.4,12.7,16.9,20.9,4.5,12,16.9,23.1,29.6,5.866666667,5.183333333,,,,,,
3-6,3_6,3,6,6.09,2.9,3.9,12.5,17,4.7,10,16,20.6,26.2,5.4,5.05,,,,,,
3-7,3_7,3,7,6.22,8.9,14.8,21,26,5.7,8.5,13.6,20.6,27.8,6.433333333,6.066666667,,,,,,
4-1,4_1,4,1,5.75,4.5,10,15.6,22.5,6,7,11.8,18.5,25.3,6.1,6.05,,,,,,
4-2,4_2,4,2,5.92,7.5,11.3,13.4,18.6,3.7,9.6,14.5,20.5,25.5,5.3,4.5,,,,,,
4-4,4_4,4,4,6.34,4.5,8.6,13.5,18.3,4.6,8,12.5,23,35.8,9.266666667,6.933333333,,,,,,
4-6,4_6,4,6,6.13,5.7,8.9,10,14.6,2.966666667,5.5,9.8,14.4,16.5,3.666666667,3.316666667,,,,,,
4-7,4_7,4,7,5.96,6,11.3,17.6,24.3,6.1,10.6,17.8,25,32.2,7.2,6.65,,,,,,
J5-1,j5_1,j,12,6.13,3.5,7.5,12.5,16.5,4.333333333,8,12.4,15.9,19.5,3.833333333,4.083333333,,,,,,
8-1,8_1,8,1,5.96,6.1,9.1,13.1,16.5,3.466666667,8.3,13,16.6,24.3,5.333333333,4.4,,,,,,
8-2,8_2,8,2,6.17,6,9.5,14,17.5,3.833333333,10.6,16,18.4,25.1,4.833333333,4.333333333,,,,,,
8-3,8_3,8,3,6.55,4.7,9.2,12.5,18.2,4.5,10.6,16.7,22.6,28.9,6.1,5.3,,,,,,
8-4,8_4,8,4,6.34,4.2,7,10.6,16,3.933333333,8.1,12.6,15.5,20.1,4,3.966666667,,,,,,
8-5,8_5,8,5,6.43,3,5.1,7.9,11.2,2.733333333,13.6,19.5,24.6,30.5,5.633333333,4.183333333,,,,,,
8-7,8_7,8,6,6.01,8.6,13.6,18.9,NA,5.15,12,17.6,25,40.8,9.6,7.375,,,,,,
8-8a,8_8a,8,7,6.51,6.3,8,NA,10.7,1.466666667,9.2,13,18.6,27.5,6.1,3.783333333,,,,,,
8-8b,8_8b,8,8,6.09,2.5,4.1,7.8,12.2,3.233333333,10.1,14.1,21.1,29.4,6.433333333,4.833333333,,,,,,
8-9,8_9,8,9,6.22,8.1,12,16.8,22.1,4.666666667,8.8,11.1,16.2,22.4,4.533333333,4.6,,,,,,
8-10,8_10,8,10,6.01,4.1,7.5,11.5,12.7,2.866666667,8.8,14,21.2,27.5,6.233333333,4.55,,,,,,
8-11,8_11,8,11,5.92,3.5,7.3,13,19.4,5.3,10.6,17,23.6,30.7,6.7,6,,,,,,
8-12,8_12,8,12,5.84,3.5,6.8,11.2,16.4,4.3,7,11.9,17.7,24.1,5.7,5,,,,,,
8-13,8_13,8,13,6.05,8,13.1,17.3,21.8,4.6,6.1,10,14.9,20.2,4.7,4.65,,,,,,
8-14,8_14,8,14,5.75,3.5,7.3,10.9,15.5,4,4.6,8.1,12.9,17,4.133333333,4.066666667,,,,,,
