fullid,germinationweight,germinationdays,leaf3days,leaf4days,leafbetween,day1(g),day2(g),day3(g),day4(g)
1_1,0.0612,1,14,19,5,0.0836,0.1038,0.1259,0.1495
1_4,0.0824,2,14,20,6,0.1051,0.1599,0.1653,0.1775
1_5,0.0664,2,11,18,7,0.0788,0.1039,0.1201,0.1364
1_6,0.0587,2,15,20,5,0.0697,0.0801,0.0848,0.1049
1_7,0.0806,2,12,16,4,0.097,0.1287,0.1662,0.1704
1_8,0.1091,3,14,18,4,0.1193,0.1372,0.1425,0.1544
1_11,0.1108,4,10,17,7,0.116,0.1281,0.1626,0.208
1_12,0.0957,4,12,17,5,0.1265,0.1724,0.1726,0.2119
1_14,0.0797,8,9,14,5,0.1055,0.1152,0.1211,0.1417
11_2,0.1719,2,11,17,6,0.1837,0.2088,0.2509,0.3045
11_3,0.145,5,11,15,4,0.147,0.1511,0.16,0.1975
11_4,0.0734,8,11,15,4,0.0927,0.1381,0.1211,0.1522
11_6,0.1511,8,11,16,5,0.2121,0.2547,0.3308,0.3723
3_2,0.1028,2,14,17,3,0.135,0.168,0.211,0.2574
3_4,0.138,3,9,13,4,0.1745,0.2249,0.2485,0.2991
3_6,0.1479,5,8,14,6,0.183,0.2296,0.2613,0.2132
3_7,0.0935,7,11,15,4,0.0957,0.1017,0.1175,0.1667
4_1,0.122,1,14,19,5,0.1231,0.1422,0.1718,0.2164
4_2,0.1489,1,10,16,6,0.2058,0.2422,0.3152,0.338
4_4,0.0947,1,14,19,5,0.1131,0.1073,0.129,0.1705
4_5,0.1439,2,9,14,5,0.1801,0.2328,0.2834,0.3446
4_6,0.1577,3,10,12,2,0.1654,0.1754,0.2355,0.2305
4_7,0.1659,4,11,17,6,0.176,0.2044,0.2339,0.2871
j5_1,0.1425,4,17,25,8,0.1455,0.1498,0.1501,0.156
8_1,0.1206,1,12,18,6,0.1519,0.2047,0.2233,0.249
8_2,0.1099,1,12,17,5,0.1344,0.142,0.1546,0.1712
8_3,0.0761,1,12,18,6,0.1057,0.1586,0.227,0.2667
8_4,0.0851,1,12,18,6,0.1138,0.1449,0.1759,0.1809
8_5,0.0881,1,12,21,9,0.1124,0.1561,0.1942,0.2175
8_7,0.1315,2,12,16,4,0.1845,0.2109,0.2015,0.2257
8_8a,0.1102,2,11,18,7,0.1312,0.1515,0.2004,0.2316
8_8b,0.1208,2,9,15,6,0.1591,0.214,0.2706,0.3775
8_9,0.1183,2,11,15,4,0.135,0.1697,0.2016,0.2356
8_10,0.1279,4,9,15,6,0.1614,0.1738,0.1815,0.2256
8_11,0.1277,4,11,17,6,0.155,0.1867,0.2166,0.2433
8_12,0.113,2,11,16,5,0.1404,0.1812,0.1979,0.2398
8_13,0.1141,2,11,16,5,0.1364,0.1685,0.216,0.2784
8_14,0.1135,2,11,16,5,0.1454,0.1749,0.2069,0.2441
8_15,0.0942,2,12,18,6,0.1338,0.1365,0.1379,0.1765
8_16,0.1465,3,9,15,6,0.1596,0.182,0.1759,0.2193
a_1,0.1356,1,11,16,5,0.203,0.2425,0.2826,0.3202
a_2,0.1107,1,14,18,4,0.1437,0.199,0.2384,0.247
a_3,0.1133,1,26,27,1,0.1245,0.1256,0.141,0.1325
a_4,0.1855,2,11,14,3,0.2233,0.2657,0.3203,0.3015
a_5,0.1666,2,9,13,4,0.2201,0.2435,0.267,0.3273
a_6,0.1523,2,9,13,4,0.1823,0.2016,0.2017,0.2585
a_7,0.1816,2,9,13,4,0.2019,0.2207,0.269,0.3415
a_8,0.1658,2,12,17,5,0.1613,0.184,0.2193,0.2453
a_9,0.088,3,15,20,5,0.0929,0.0853,0.0915,0.1225
a_10,0.0684,4,8,13,5,0.0909,0.1018,0.1249,0.1539
a_12,0.082,6,11,18,7,0.0959,0.1135,0.1287,0.1863
b_1,0.1262,1,11,16,5,0.1626,0.2122,0.2432,0.2821
b_2,0.092,1,11,16,5,0.125,0.171,0.2593,0.313
b_3,0.1444,2,11,15,4,0.1773,0.234,0.3293,0.3945
b_4,0.153,2,12,17,5,0.177,0.1915,0.2077,0.2474
b_6,0.14,2,11,16,5,0.1813,0.215,0.26,0.3331
b_7,0.0763,3,12,17,5,0.091,0.1154,0.1571,0.2248
bulk_1,0.1447,1,12,17,5,0.2057,0.2449,0.264,0.291
bulk_4,0.156,2,11,16,5,0.206,0.2356,0.2679,0.31
bulk_5,0.1367,2,9,13,4,0.1581,0.199,0.2439,0.238
bulk_6,0.1908,2,11,16,5,0.255,0.3169,0.3864,0.4462
bulk_7,0.1145,2,11,16,5,0.1179,0.1604,0.2194,0.2726
bulk_8,0.1018,2,11,16,5,0.1049,0.1171,0.1382,0.1758
bulk_9,0.1076,2,10,15,5,0.1286,0.1428,0.1587,0.1841
bulk_10,0.0909,2,13,19,6,0.0945,0.1006,0.1013,0.1173
bulk_11,0.1231,2,11,16,5,0.1525,0.2099,0.2389,0.3025
bulk_12,0.0912,2,11,15,4,0.1205,0.1454,0.1658,0.2182
bulk_13,0.1764,2,11,18,7,0.1888,0.2201,0.286,0.3335
bulk_14,0.1186,2,9,13,4,0.1369,0.1534,0.185,0.2351
bulk_16,0.0959,2,12,19,7,0.1185,0.1343,0.1732,0.2026
bulk_17,0.1449,2,10,15,5,0.17,0.1842,0.2188,0.2492
bulk_18,0.1291,2,11,17,6,0.2146,0.233,0.2649,0.2532
bulk_19,0.1239,2,11,15,4,0.149,0.181,0.2305,0.2855
bulk_20,0.1481,2,11,16,5,0.1695,0.217,0.2401,0.2874
bulk_21,0.2535,2,11,16,5,0.268,0.3228,0.3501,0.4193
bulk_22,0.092,2,10,15,5,0.1192,0.1589,0.2196,0.2669
bulk_23,0.0769,2,11,17,6,0.0992,0.1209,0.1413,0.1922
bulk_24,0.1287,2,10,16,6,0.208,0.2558,0.259,0.3015
bulk_25,0.158,3,10,15,5,0.206,0.2559,0.3148,0.3891
bulk_26,0.1218,3,12,17,5,0.171,0.1878,0.1932,0.2187
bulk_28,0.083,3,13,20,7,0.0892,0.0905,0.1017,0.1326
bulk_29,0.118,3,13,20,7,0.1588,0.1985,0.2449,0.3086
bulk_30,0.1882,4,9,13,4,0.21,0.2398,0.3008,0.3415
bulk_31,0.1793,4,9,14,5,0.2102,0.2355,0.2613,0.2938
bulk_32,0.1018,4,12,17,5,0.1282,0.1708,0.1727,0.2015
bulk_33,0.1315,4,12,#VALUE!,#VALUE!,0.158,0.2036,0.2295,0.2809
bulk_35,0.1113,4,15,21,6,0.1147,0.133,0.147,0.155
bulk_36,0.1291,4,12,16,4,0.1414,0.1711,0.1725,0.224
bulk_37,0.1447,5,12,17,5,0.178,0.1986,0.2697,0.3085
bulk_38,0.1347,5,11,17,6,0.182,0.2433,0.3096,0.3828
bulk_40,0.1283,7,10,14,4,0.1792,0.1901,0.2198,0.2223
bulk_42,0.1362,10,11,17,6,0.1743,0.2141,0.2805,0.3209
c_1,0.1219,1,12,16,4,0.1783,0.2631,0.3232,0.3695
c_2,0.1403,2,11,16,5,0.182,0.2195,0.295,0.34
c_3,0.1033,2,12,16,4,0.1115,0.1201,0.1221,0.1477
c_4,0.1329,2,10,15,5,0.185,0.261,0.31,0.3513
c_5,0.1673,3,9,13,4,0.2251,0.2415,0.285,0.3451
c_6,0.1339,2,11,16,5,0.158,0.2015,0.2435,0.2945
c_7,0.144,2,12,14,2,0.1878,0.2745,0.2921,0.332
c_8,0.2225,2,11,15,4,0.2631,0.3051,0.3371,0.3739
c_9,0.1093,4,10,15,5,0.142,0.2282,0.2209,0.2745
c_10,0.1314,5,11,17,6,0.1596,0.1888,0.2569,0.2734
c_11,0.1129,6,18,25,7,0.1138,0.1137,0.1295,0.1243
d_1,0.0991,2,12,18,6,0.1407,0.1622,0.1802,0.194
d_2,0.0858,2,14,17,3,0.1178,0.1721,0.2005,0.254
d_3,0.1643,2,13,18,5,0.1874,0.2388,0.2773,0.3427
d_4,0.1407,2,11,16,5,0.2015,0.2153,0.2443,0.2655
d_6,0.0856,2,11,16,5,0.1179,0.1607,0.1498,0.2375
d_7,0.1318,2,14,18,4,0.164,0.1699,0.1962,0.215
d_8,0.0929,2,11,17,6,0.1347,0.1678,0.1936,0.2062
d_9,0.1233,3,10,15,5,0.1464,0.2017,0.1651,0.1728
d_10,0.136,3,11,16,5,0.151,0.1745,0.126,0.2742
d_12,0.1464,3,11,17,6,0.157,0.1948,NA,0.2207
d_13,0.1217,4,12,19,7,0.1103,0.1525,0.1904,0.2301
d_14,0.0783,4,11,16,5,0.0888,0.1065,0.1361,0.1898
d_15,0.0947,5,11,17,6,0.0976,0.1087,0.1217,0.1589
d_16,0.1102,5,13,18,5,0.1474,0.193,0.1902,0.2326
d_17,0.1235,6,11,17,6,0.165,0.2308,0.2514,0.2695
d_18,0.1582,7,10,15,5,0.2514,0.3295,0.3077,0.3806
d_20,0.0918,7,11,16,5,0.1021,0.122,0.1573,0.2035
e_1,0.0902,2,10,17,7,0.1165,0.1542,0.1812,0.2424
e_3,0.1201,2,12,17,5,0.147,0.144,0.183,0.2148
e_4,0.1035,2,10,15,5,0.1456,0.1812,0.23,0.2822
e_6,0.1387,3,10,17,7,0.1538,0.1792,0.2104,0.2261
e_7,0.0848,3,8,14,6,0.108,0.1289,0.158,0.1934
e_8,0.1429,3,12,17,5,0.1555,0.181,0.2542,0.2827
e_9,0.11,2,13,18,5,0.1428,0.15,0.1475,0.1774
e_10,0.1044,3,12,18,6,0.1416,0.1807,0.2448,0.274
e_11,0.0759,3,12,17,5,0.0808,0.0902,0.1017,0.1495
e_12,0.1499,3,10,15,5,0.166,0.2129,0.2305,0.2909
e_13,0.1098,4,10,15,5,0.1115,0.1281,0.1417,0.1686
e_14,0.1541,5,8,14,6,0.2262,0.255,0.3104,0.3685
e_15,0.1912,5,12,18,6,0.2179,0.2466,0.2745,0.2851
e_16,0.1354,9,9,14,5,0.1893,0.2228,0.2786,0.3444
e_17,0.1118,6,12,16,4,0.1384,0.19,0.2338,0.2379
e_18,0.1029,6,11,17,6,0.1127,0.1188,0.1644,0.2174
e_19,0.0985,6,11,16,5,0.1064,0.1244,0.1479,0.1735
f_1,0.1194,2,11,15,4,0.1412,0.1758,0.2126,0.2055
f_2,0.0954,2,11,17,6,0.1155,0.1535,0.1697,0.1746
f_3,0.118,2,13,19,6,0.1448,0.2025,0.2259,0.2751
f_4,0.0841,3,11,16,5,0.118,0.1645,0.1591,0.1534
f_6,0.1294,3,10,16,6,0.1495,0.1766,0.2148,0.2378
f_7,0.0977,4,12,17,5,0.1003,0.1147,0.1325,0.1751
f_8,0.1358,8,11,17,6,0.079,0.1155,0.1399,0.1265
g_1,0.1432,2,9,13,4,0.1837,0.2925,0.2947,0.4111
g_2,0.1471,2,14,19,5,0.1476,0.1505,0.1591,0.1705
g_3,0.1567,2,9,14,5,0.1882,0.2533,0.304,0.3351
g_4,0.1533,3,10,15,5,0.1805,0.2398,0.3048,0.3091
g_5,0.1385,4,9,15,6,0.1523,0.2125,0.2356,0.2797
g_6,0.146,4,10,16,6,0.1468,0.1678,0.2084,0.2777
g_7,0.1391,4,9,17,8,0.1586,0.1613,0.2061,0.3327
g_8,0.1112,4,13,19,6,0.1209,0.123,0.1273,0.1325
g_9,0.1547,6,11,15,4,0.166,0.2085,0.232,0.2697
g_10,0.0796,7,10,16,6,0.111,0.1241,0.1863,0.1952
h_2,0.0996,2,13,19,6,0.1458,0.1988,0.2098,0.242
h_4,0.1301,2,10,15,5,0.1677,0.2241,0.2805,0.3055
h_5,0.1193,2,11,18,7,0.1422,0.1745,0.1872,0.2055
h_6,0.1221,2,13,20,7,0.1223,0.1373,0.152,0.2081
h_7,0.1886,2,11,15,4,0.2169,0.2578,0.2921,0.3544
h_8,0.1076,3,11,15,4,0.1294,0.1684,0.2032,0.2177
h_9,0.1039,3,14,20,6,0.1147,0.1187,0.14,0.134
h_10,0.0865,4,11,14,3,0.0917,0.0982,0.1207,0.1668
h_13,0.1426,8,10,14,4,0.1661,0.1934,0.1227,0.2051
i_1,0.0868,1,12,17,5,0.1193,0.1403,0.1612,0.1995
i_2,0.0891,2,13,20,7,0.0994,0.1177,0.1428,0.1811
i_3,0.1499,2,11,15,4,0.1722,0.2233,0.259,0.3262
i_4,0.1377,2,11,16,5,0.1575,0.1822,0.225,0.2616
i_7,0.1033,3,10,16,6,0.1126,0.1395,0.1966,0.2064
i_9,0.0964,3,13,17,4,0.1062,0.1186,0.1477,0.1771
i_10,0.1166,4,10,15,5,0.1329,0.1548,0.1641,0.2227
i_12,0.1343,5,10,15,5,0.148,0.1816,0.2201,0.2445
i_13,0.0975,10,11,17,6,0.1109,0.1381,0.1862,0.2274
j_1,0.1196,2,11,18,7,0.1914,0.2122,0.2484,0.309
j_2,0.1042,2,11,16,5,0.1383,0.1614,0.1755,0.2111
j_3,0.1415,2,12,19,7,0.1647,0.2109,0.275,0.3258
j_4,0.1097,2,14,20,6,0.1263,0.1608,0.1784,0.2555
j_5,0.0955,2,11,17,6,0.1267,0.1922,0.2429,0.3284
j_7,0.1417,3,10,17,7,0.1584,0.2081,0.2692,0.2366
j_8,0.1043,5,11,16,5,0.1374,0.226,0.2478,0.2658
j_9,0.0832,3,12,18,6,0.1053,0.1478,0.175,0.199
j_10,0.0767,3,13,18,5,0.0875,0.1133,0.112,0.1307
j_11,0.0951,3,12,17,5,0.0998,0.1141,0.1085,0.14
k_3,0.089,2,11,18,7,0.126,0.1322,0.1525,0.1628
k_5,0.0791,5,12,17,5,0.0868,0.11,0.1414,0.2965
k_6,0.134,2,11,18,7,0.1597,0.2158,0.2677,0.3016
k_7,0.1214,2,13,18,5,0.1652,0.2168,0.2471,0.3022
k_8,0.1722,2,11,16,5,0.216,0.2641,0.2512,0.3047
k_9,0.1071,2,12,18,6,0.1491,0.1937,0.189,0.1593
k_10,0.1385,2,11,17,6,0.1776,0.2401,0.2092,0.2236
k_11,0.0857,7,11,16,5,0.1317,0.1974,0.238,0.2791
k_14,0.1061,4,12,19,7,0.134,0.1913,0.183,0.1565
k_15,0.0985,5,12,18,6,0.1225,0.1303,0.1167,0.1518
k_16,0.1317,5,12,18,6,0.1643,0.187,0.1978,0.2291
k_17,0.1228,5,11,16,5,0.1755,0.173,0.1818,0.2033
l_3,0.1227,2,10,15,5,0.1324,0.1524,0.1818,0.219
l_5,0.1169,2,14,19,5,0.1295,0.1463,0.183,0.2093
l_6,0.1106,2,13,17,4,0.1236,0.14,0.1388,0.1892
l_7,0.139,2,13,17,4,0.1514,0.1474,0.186,0.2626
