"","fullid","AcID","Pop","Ind","genomesize","leaf3.0","leaf3.1","leaf3.2","leaf3.3","dailyavg3","leaf4.0","leaf4.1","leaf4.2","leaf4.3","dailyavg4","dailyavgall","adjcs3","adjcs4","adjavg","m3","m4","mavg","cellprod3","cellprod4","cellprodavg"
"1","1_1","1-1","1",1,6.11,1.7,6.6,11.3,17.6,5.3,5,8.3,12.5,16.4,3.8,4.55,177.560302631579,140.759150684932,159.159726658255,228.597947368421,156.946481481481,192.772214424951,0.0298490142303767,0.0269964686594745,0.0285876339167739
"2","1_11","1-11","1",11,5.98,1,3.7,7.6,12.7,3.9,14.8,20.6,26.3,32.2,5.8,4.85,198.864309859155,187.523372881356,193.193841370255,213.4,212.057090909091,212.728545454545,0.0196113621532298,0.0309294778079189,0.0251043199182783
"3","1_12","1-12","1",12,5.94,3,6.8,11.1,16.2,4.4,7.9,12.4,17.4,22.6,4.9,4.65,192.774931506849,173.284538461538,183.029734984194,203.221,203.430388888889,203.325694444444,0.0228245444861884,0.0282771910494922,0.0254057079872927
"4","1_14","1-14","1",14,5.86,7,11.3,16.3,20.5,4.5,9.3,14,20.5,26.3,5.666666667,5.083333333,169.186291666667,161.868216981132,165.527254323899,193.883357142857,188.037939393939,190.960648268398,0.0265978996032726,0.0350079019382818,0.030709947759135
"5","1_4","1-4","1",4,6.29,5.3,9.6,18,NA,6.35,9.6,15.2,20.7,26.5,5.633333333,5.991666667,169.015,174.166766233766,171.590883116883,206.720807692308,226.907961538462,216.814384615385,0.0375706298257551,0.0323444791151427,0.0349183275833987
"6","1_5","1-5","1",5,5.92,9.4,10.8,12,12.5,1.033333333,4.4,7.5,11,20.4,5.333333333,3.183333333,127.759618644068,145.316790697674,136.538204670871,178.496263157895,199.780043478261,189.138153318078,0.00808810595998112,0.0367014252612816,0.0233145978495433
"7","1_6","1-6","1",6,5.72,3.5,7,11.5,NA,4,4.8,8.6,12.8,18,4.4,4.2,178.264333333333,159.808056603774,169.036194968553,226.1758,208.018214285714,217.097007142857,0.0224385883884045,0.0275330298954158,0.024846749542495
"8","1_7","1-7","1",7,5.91,5.8,8,10.2,11.9,2.033333333,4.5,7.8,11.1,15.1,3.533333333,2.783333333,146.662377777778,183.735974358974,165.199176068376,181.431259259259,209.608142857143,195.519701058201,0.0138640417795551,0.0192304928053814,0.016848348758398
"9","1_8","1-8","1",8,6.14,4.9,7.7,11.3,14.6,3.233333333,5.4,9,14.1,19.2,4.6,3.916666667,150.894901098901,147.57384375,149.234372424451,182.622225806452,193.779038461538,188.200632133995,0.0214277176329555,0.0311708354482703,0.0262450707794064
"10","11_2","11-2","11",2,5.92,7.6,9,12.6,17.9,3.433333333,12.2,19.3,26.9,32.6,6.8,5.116666667,141.740889908257,143.352948453608,142.546919180933,172.23805,169.005857142857,170.621953571429,0.0242226031967364,0.0474353689502285,0.0358946141831764
