FullID,Population,IndID,Plant,AB10Freq,ab10round,Species,Region,Group,Altitude,X2C_GS,X1c,GS_bp,Total_Reads,Total_corr,X180knobreads,X180knob.,X180knobbp,TR1total,TR1.,TR1bp,CentCreads,CentC.,CentCbp,mtreads,mt.,mtbp,TotalTereads,TotalTe.,TotalTebp,Gsnoknob,GSno180,GSnoTR1
amA,Am,A,1,NA,NA,mexicana,MH,0,1591,5.42,2.71,2650380000,342611,329192,38767,0.11315165,299894870.5,1048,0.003058863,8107148.457,1642,0.004792607,12702230.69,13419,0.039166869,103807085.1,224486,0.655221228,1736585237,2342377981,2350485130,2642272852
amB,Am,B,1,NA,NA,mexicana,MH,0,1591,5.46,2.73,2669940000,325656,315685,50291,0.154429828,412318374.4,782,0.002401307,6411345.346,1609,0.004940796,13191630,9971,0.030618198,81748752.49,214702,0.659290785,1760266839,2251210280,2257621626,2663528655
amC,Am,C,1,NA,NA,mexicana,MH,0,1591,5.5,2.75,2689500000,240979,235508,34620,0.143663971,386384249.2,687,0.002850871,7667417.078,1038,0.004307429,11584831.04,5471,0.022703223,61060318.53,147557,0.612323065,1646842885,2295448334,2303115751,2681832583
amD,Am,D,1,NA,NA,mexicana,MH,0,1591,5.33,2.665,2606370000,274513,267937,30948,0.11273783,293836498.7,882,0.003212963,8374169.311,1242,0.004524376,11792197.6,6576,0.02395515,62435983.43,180445,0.657327704,1713239208,2304159332,2312533501,2597995831
amE,Am,E,1,NA,NA,mexicana,MH,0,1591,5.63,2.815,2753070000,208336,202750,22646,0.108699409,299257081,372,0.001785577,4915818.87,899,0.004315145,11879895.6,5586,0.026812457,73816570.44,135912,0.65236925,1796018210,2448897100,2453812919,2748154181
cl11,Cl,11,1,NA,NA,mexicana,MH,1,2698,6.26,3.13,3061140000,354919,345982,41704,0.117502867,359692725.8,344,0.000969235,2966964.744,1916,0.005398415,16525303.63,8937,0.025180393,77080709.06,229314,0.64610235,1977809748,2698480309,2701447274,3058173035
cl12,Cl,12,1,NA,NA,mexicana,MH,1,2698,5.92,2.96,2894880000,243742,237091,38514,0.15801134,457423867.5,257,0.001054394,3052342.887,1326,0.005440179,15748664.08,6651,0.027287049,78992733.63,158510,0.65031878,1882594829,2434403790,2437456132,2891827657
cl1,Cl,1,1,NA,NA,mexicana,MH,1,2698,5.96,2.98,2914440000,297968,290721,17978,0.060335338,175843722.5,945,0.003171482,9243092.547,1529,0.005131424,14955225.93,7247,0.024321404,70883271.63,194448,0.652580143,1901905671,2729353185,2738596277,2905196907
cl2,Cl,2,1,NA,NA,mexicana,MH,1,2698,6.13,3.065,2997570000,328185,318729,34302,0.104520316,313306964.5,1168,0.003558968,10668256.5,1346,0.004101345,12294069.56,9456,0.028813017,86369035.51,219208,0.667940339,2002197921,2673594779,2684263036,2986901743
cl4,Cl,4,1,NA,NA,mexicana,MH,1,2698,6.05,3.025,2958450000,336038,329431,47461,0.141237003,417842611.4,983,0.002925264,8654248.478,1668,0.004963724,14684930.28,6607,0.019661467,58167466.63,221592,0.659425422,1950877140,2531953140,2540607389,2949795752
cl5,Cl,5,1,NA,NA,mexicana,MH,1,2698,6.05,3.025,2958450000,278303,270907,39928,0.143469528,424447424.6,531,0.001907992,5644700.021,1321,0.004746625,14042652.97,7396,0.026575351,78621848.13,183627,0.659809632,1952013806,2528357875,2534002575,2952805300
