pop,ind,fullid,leaf,pos,crap,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40,cell41,cell42,cell43,cell44,cell45,cell46,cell47,cell48,cell49,cell50,cell51,cell52,cell53,cell54,cell55,cell56,cell57,cell58,cell59,cell60,cell61,cell62,cell63,cell64,cell65,cell66,cell67,cell68,cell69,cell70,cell71,cell72,cell73,cell74,cell75,cell76,cell77,cell78,cell79,cell80,cell81,cell82,cell83,cell84,cell85,cell86,cell87,cell88,cell89,cell90,cell91,cell92,cell93,cell94,cell95,cell96,cell97,cell98,cell99,cell100,cell101,cell102,cell103,cell104,cell105,cell106,cell107,cell108,cell109,cell110,cell111,cell112,cell113,cell114,cell115,cell116,cell117,cell118,cell119,cell120,cell121,cell122,cell123,cell124,cell125,cell126,cell127,cell128,cell129,cell130,cell131,cell132,cell133,cell134,cell135,cell136,cell137,cell138,cell139,cell140,cell141,cell142,cell143,cell144,cell145,cell146,cell147,cell148,cell149,cell150,cell151,cell152,cell153,cell154,cell155,cell156,cell157,cell158,cell159,cell160,cell161,cell162,cell163,cell164,cell165,cell166,cell167,cell168,cell169,cell170,cell171,cell172,cell173,cell174,cell175,cell176,cell177,cell178,cell179,cell180
a,1,a_1,3,adjacent,a-1.lf.3.adjacent,202.014,246.14,150.932,225.72,161.621,232.571,172.521,156.44,179.92,186.247,245.614,118.745,157.956,212.17,122.807,156.44,120.603,178.416,118.565,202.014,128.73,186.041,121.38,114.185,160.825,204.866,135.996,207.685,191.721,211.033,175.658,147.668,120.026,179.878,152.159,129.326,152.047,143.305,107.215,223.804,175.445,163.749,194.466,162.386,86.307,184.419,149.302,165.263,156.542,143.275,137.551,209.11,165.618,111.15,178.369,145.334,73.099,149.474,153.759,181.292,159.464,159.685,134.511,153.516,146.316,96.591,133.242,176.047,80.423,198.965,121.424,141.933,111.121,141.82,162.281,114.185,126.147,201.802,89.289,109.659,141.881,149.237,127.269,177.768,195.234,92.105,186.041,180.418,153.62,165.437,183.222,193.431,171.109,139.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,1,a_1,3,middle,a-1.lf.3.middle,158.57,306.342,240.904,183.222,235.085,219.376,171.359,128.03,149.474,143.751,205.101,169.993,183.332,137.924,116.996,177.118,166.981,135.973,150.84,191.66,147.661,184.356,105.425,144.855,189.055,193.337,136.161,162.603,148.123,134.535,152.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,1,a_1,4,adjacent,a-1.lf.4.adjacent,129.483,129.483,120.204,132.469,140.541,119.919,140.473,132.235,107.364,95.13,101.553,112.659,139.817,88.496,168.535,189.281,125.126,188.097,156.869,174.473,206.658,99.512,110.387,130.642,152.895,200.212,71.652,118.421,142.564,129.483,199.115,124.054,118.06,105.517,128.862,157.766,150.727,61.56,221.239,153.954,127.73,107.523,147.081,169.042,136.279,109.649,93.67,136.6,133.554,157.583,149.502,128.862,158.712,136.6,221.07,134.63,203.553,152.496,130.519,133.33,118.997,105.759,145.796,195.234,118.997,157.441,117.105,83.653,160.486,113.716,134.789,182.133,203.106,96.768,195.409,245.897,146.177,161.621,94.488,168.103,215.751,204.103,91.815,217.207,161.773,100.951,132.945,198.147,136.913,125.305,148.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,1,a_1,4,middle,a-1.lf.4.middle,173.133,177.768,176.991,211.822,155.411,185.188,154.508,190.513,218.326,95.936,150.521,123.363,115.377,194.768,123.856,158.138,161.144,142.422,161.058,134.009,203.406,227.967,168.3,88.314,149.073,196.451,105.911,155.411,102.714,156.869,205.699,241.542,129.186,123.024,183.734,135.295,101.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,2,a_2,3,adjacent,a-2.lf.3.adjacent,137.707,206.472,133.33,120.452,84.846,146.79,147.726,117.187,127.403,146.316,148.383,142.084,175.493,70.419,98.051,139.166,142.084,87.719,124.278,124.303,120.026,149.151,165.263,131.652,153.516,95.31,119.963,168.154,106.765,176.955,176.925,125.765,171.078,144.855,135.965,80.741,127.403,190.62,137.435,114.493,147.69,181.287,89.229,133.073,97.997,127.201,119.919,173.133,188.959,112.725,112.763,124.303,150.613,142.084,129.846,134.511,140.351,184.68,211.993,83.794,120.106,139.081,212.114,159.363,125.765,80.529,175.658,198.83,180.418,168.287,138.92,108.345,148.015,190.738,132.098,103.842,115.645,154.978,190.513,143.305,115.534,124.303,159.363,90.643,109.649,133.049,95.13,156.603,149.702,151.038,111.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,2,a_2,3,middle,a-2.lf.3.middle,156.767,184.356,159.524,100.888,163.743,97.032,124.269,140.723,111.351,159.417,192.078,168.535,217.836,140.723,102.381,112.81,141.82,190.513,122.946,121.38,112.583,125.765,175.591,197.374,150.592,233.959,86.369,95.074,176.901,219.342,203.216,124.407,173.404,181.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,2,a_2,4,adjacent,a-2.lf.4.adjacent,140.723,230.318,221.07,207.463,148.123,1.462,103.894,181.499,221.456,187.824,213.855,152.748,127.327,228.37,159.524,171.676,235.748,226.91,222.395,106.765,117.288,127.403,128.954,139.38,109.999,104.171,95.074,138.92,140.837,131.782,111.265,178.416,212.114,139.38,142.001,136.161,177.196,162.386,156.869,133.242,174.001,191.66,103.966,137.551,188.959,103.894,125.731,146.928,83.959,67.394,74.69,196.174,117.288,130.125,130.412,213.12,122.223,141.269,127.604,186.041,133.842,125.765,150.151,199.48,135.01,154.998,131.611,216.498,180.542,161.621,175.445,135.973,194.642,136.091,97.997,145.098,153.759,194.796,181.875,191.794,125.867,123.12,79.001,137.621,162.445,206.658,162.386,116.996,166.827,1.462,117.542,142.422,185.724,209.069,120.452,107.533,163.977,139.265,120.026,162.386,89.289,81.058,109.805,123.674,108.542,79.069,124.818,136.6,190.058,89.767,209.085,152.075,167.077,143.305,83.538,128.788,144.766,136.161,167.077,134.574,103.842,184.581,195.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,2,a_2,4,middle,a-2.lf.4.middle,124.346,136.35,96.502,175.463,147.921,127.403,187.414,127.327,125.501,158.064,190.334,179.973,118.745,155.411,180.038,159.899,140.723,148.123,225.62,163.977,156.678,151.038,191.972,236.033,120.204,146.462,181.381,178.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,3,a_3,3,adjacent,a-3.lf.3.adjacent,186.643,170.201,183.734,126.73,160.166,193.651,187.824,223.033,172.453,136.35,229.42,145.943,113.518,86.566,130.781,95.433,169.553,165.618,139.924,116.308,79.137,154.508,106.082,125.126,180.986,193.27,199.115,170.821,163.455,179.301,269.248,215.86,222.688,177.859,200.995,202.431,238.667,188.392,238.913,163.2,198.147,91.593,90.147,192.078,160.073,194.768,193.74,179.086,131.294,160.32,141.835,186.293,119.32,110.387,148.879,280.496,119.919,150.521,149.502,206.555,166.872,203.001,155.748,133.642,258.656,175.956,187.5,189.405,161.356,211.988,312.23,248.319,120.434,177.401,168.966,191.571,146.389,240.607,156.132,165.205,199.115,143.498,128.397,200.036,129.656,105.628,125.501,167.587,149.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,3,a_3,3,middle,a-3..lf.3.middle,246.457,318.703,186.293,247.56,161.515,212.351,175.542,191.157,259.691,263.231,174.296,188.591,201.187,163.455,295.777,174.093,236.756,315.346,205.304,215.369,188.438,150.521,167.064,178.632,220.542,179.068,225.587,149.28,282.221,207.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
