pop,ind,fullid,leafnumber,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40,cell41,cell42,cell43,cell44,cell45,cell46,cell47,cell48,cell49,cell50,cell51,cell52,cell53,cell54,cell55,cell56,cell57,cell58,cell59,cell60,cell61
a,1,a_1,3,27.931,35.088,35.118,29.276,32.164,30.737,35.118,30.841,27.778,36.55,30.737,40.936,30.841,29.276,27.931,26.478,32.461,30.841,30.737,26.316,26.316,26.356,26.356,32.197,37.015,30.737,35.088,33.753,35.118,30.702,33.657,33.626,30.841,29.24,30.737,26.356,29.567,42.423,39.474,33.657,35.209,29.276,32.296,35.118,32.197,42.423,32.164,26.316,39.365,45.416,36.55,,,,,,,,,,
a,1,a_1,4,29.24,39.582,28.122,32.164,33.657,23.437,26.958,32.296,22.696,33.753,36.812,29.276,29.386,29.24,26.958,32.461,27.931,27.931,38.264,35.209,23.392,32.197,31.013,27.931,29.386,29.24,24.854,30.702,32.197,32.197,39.582,29.567,32.164,38.264,32.296,26.478,29.24,21.93,23.392,25.025,32.164,29.276,39.501,28.122,45.697,27.816,24.854,26.356,,,,,,,,,,,,,
a,2,a_2,3,30.702,32.197,27.931,29.276,24.897,26.316,26.356,27.778,38.012,30.737,30.737,29.567,26.316,32.164,35.572,35.118,27.816,23.574,29.276,20.468,29.276,24.854,23.437,21.93,29.24,29.276,20.932,32.197,24.854,27.816,26.356,27.816,17.786,27.931,35.088,30.737,26.958,33.626,29.386,32.164,33.657,36.55,35.118,36.579,33.626,40.936,33.626,26.316,35.118,38.124,30.737,,,,,,,,,,
a,2,a_2,4,32.164,30.702,33.657,41.17,29.24,33.657,30.841,30.737,36.55,32.164,35.118,31.013,29.386,45.345,43.957,42.498,36.812,39.501,33.657,32.296,42.498,41.17,29.386,36.579,26.478,30.841,26.478,36.666,27.816,27.931,38.124,33.911,26.316,26.478,23.574,26.316,26.356,32.164,27.778,31.013,34.13,33.753,24.854,30.737,39.717,27.778,33.911,29.276,46.784,32.164,,,,,,,,,,,
a,3,a_3,3,23.437,27.931,30.737,27.816,38.459,29.819,33.753,29.386,41.17,36.168,24.897,38.264,40.962,36.812,28.122,43.884,42.498,30.841,41.17,30.737,32.197,31.254,29.567,31.013,32.296,21.93,25.906,26.478,39.905,25.238,40.145,36.666,45.907,23.574,41.351,35.361,28.724,34.13,31.56,35.361,29.819,34.751,35.572,43.023,32.461,29.24,,,,,,,,,,,,,,,
a,3,a_3,4,36.55,30.841,39.501,32.197,40.962,27.931,27.816,32.197,36.579,36.579,40.962,27.816,33.753,33.657,24.897,25.025,16.148,33.911,36.579,30.737,23.799,23.392,29.276,39.501,32.296,32.197,35.118,32.164,32.296,23.799,36.666,35.118,37.274,23.392,26.356,30.702,21.979,29.276,21.979,22.364,26.679,42.498,23.437,19.062,32.296,30.737,24.112,21.979,19.229,32.164,23.437,29.276,,,,,,,,,
a,4,a_4,3,31.56,27.931,23.574,35.088,35.209,35.209,38.459,26.478,32.197,26.958,25.238,31.013,33.911,24.112,26.478,20.932,31.013,25.533,32.461,23.799,28.387,34.13,23.437,25.238,31.013,31.56,38.708,22.124,27.931,32.691,22.124,29.386,32.691,24.854,30.737,29.276,30.841,22.696,33.657,23.437,26.316,26.356,24.854,26.478,31.492,29.819,23.799,32.461,26.478,33.911,,,,,,,,,,,
a,4,a_4,4,23.392,26.356,16.148,33.753,20.676,36.579,35.088,43.957,29.386,33.657,33.657,22.124,26.679,23.574,27.931,30.737,28.122,30.841,31.013,29.567,24.854,27.931,27.778,27.816,16.346,32.296,33.657,32.296,32.461,26.478,31.93,35.209,20.52,26.958,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,5,a_5,3,35.209,41.351,38.04,39.501,24.897,38.012,39.474,47.148,45.345,45.697,40.962,33.657,35.088,42.423,48.445,48.796,45.533,39.501,35.209,35.118,35.088,35.118,43.957,41.17,40.936,27.778,41.04,36.579,39.717,39.501,36.666,39.501,51.357,39.717,32.461,25.238,42.624,38.04,38.124,42.624,46.875,38.264,36.579,40.145,35.088,45.416,36.666,35.088,35.088,33.657,,,,,,,,,,,
a,5,a_5,4,43.468,46.806,41.609,42.196,24.507,39.365,32.854,34.13,41.274,43.981,35.149,36.666,37.955,43.981,35.841,35.331,34.411,40.779,24.112,42.574,35.841,32.984,45.392,30.527,47.08,38.375,33.338,32.854,36.108,36.637,29.422,45.392,28.798,31.56,30.527,38.459,41.274,31.56,29.567,36.55,35.149,15.814,,,,,,,,,,,,,,,,,,,
a,6,a_6,3,27.931,33.753,39.905,32.296,40.145,37.588,31.93,34.13,34.411,35.118,33.753,30.737,26.356,32.296,30.737,29.276,29.567,31.013,26.958,31.013,26.478,29.276,45.533,33.753,32.197,32.461,34.13,33.911,39.365,30.527,33.657,35.572,27.931,26.958,31.254,29.386,39.501,31.013,29.386,35.118,36.666,26.478,41.609,36.812,28.122,32.461,25.025,23.574,29.567,27.931,,,,,,,,,,,
a,6,a_6,4,24.897,33.753,29.276,39.474,35.209,27.816,27.778,26.316,33.911,32.197,36.812,26.316,30.702,30.841,27.816,32.164,30.737,24.897,32.691,34.13,33.626,35.118,32.197,33.626,36.579,31.013,41.04,38.124,33.657,36.666,38.04,38.04,27.931,30.737,24.897,35.209,24.897,35.118,33.657,27.816,32.197,26.356,40.936,29.24,32.197,29.24,29.386,29.276,27.816,30.737,,,,,,,,,,,
a,7,a_7,3,38.124,45.345,39.501,36.55,45.345,36.666,35.118,33.657,30.702,29.276,40.936,35.118,26.316,43.86,29.386,34.13,36.666,23.437,39.474,24.897,32.164,32.296,33.753,33.657,27.816,33.753,26.316,30.737,33.753,35.118,32.164,27.778,36.55,23.392,30.702,29.386,29.24,32.164,27.931,35.088,26.356,30.737,39.474,38.04,39.582,27.816,35.209,33.657,32.296,,,,,,,,,,,,
a,7,a_7,4,39.474,42.423,30.702,35.209,35.118,33.753,33.753,32.197,36.666,32.461,26.316,33.626,30.841,31.013,26.356,30.737,24.897,35.118,38.124,27.778,33.657,43.957,29.24,36.666,38.012,30.841,30.737,39.474,26.316,39.501,36.579,30.702,36.579,32.197,30.737,30.737,27.816,30.702,29.24,29.24,30.702,35.088,30.702,,,,,,,,,,,,,,,,,,
a,8,a_8,3,42.799,33.911,32.197,36.55,41.04,46.989,39.582,40.437,39.905,44.248,38.264,30.737,35.209,38.012,31.013,30.737,33.626,36.579,42.423,33.911,35.088,33.657,46.806,45.416,42.398,26.356,38.012,36.55,33.657,32.461,33.657,51.17,38.264,33.626,32.164,,,,,,,,,,,,,,,,,,,,,,,,,,
a,8,a_8,4,42.498,48.334,40.936,32.197,29.567,27.931,27.931,27.931,27.816,29.24,30.737,30.702,32.197,33.753,29.386,30.702,35.118,27.816,36.579,33.657,26.316,21.979,26.356,26.356,26.478,30.702,29.24,36.579,29.24,33.657,26.679,28.798,33.626,35.088,21.979,35.209,36.55,26.478,35.088,39.501,29.276,33.626,,,,,,,,,,,,,,,,,,,
a,9,a_9,3,29.24,32.197,34.13,33.657,32.296,29.819,38.04,33.911,36.579,35.572,32.197,32.296,36.812,23.392,27.931,36.579,29.567,30.737,33.753,29.276,28.387,33.626,34.13,32.197,27.778,30.737,26.316,29.386,24.854,30.737,23.392,25.025,35.118,29.24,33.657,29.276,23.437,31.013,32.296,33.753,27.778,26.316,28.387,26.356,27.816,,,,,,,,,,,,,,,,
a,9,a_9,4,28.724,25.533,40.962,29.567,30.737,35.209,31.013,32.164,30.702,30.737,39.582,29.386,26.478,33.626,30.702,29.819,38.124,25.025,33.753,33.753,29.386,33.753,33.626,42.398,33.911,36.666,26.356,21.93,26.478,33.626,27.931,36.55,33.753,32.296,27.816,29.386,29.386,38.264,32.296,38.012,23.437,35.361,29.276,29.567,36.812,29.386,33.911,33.657,40.962,27.816,35.209,38.264,,,,,,,,,
a,10,a_10,3,29.386,35.088,24.897,29.567,32.197,28.387,32.296,31.013,31.013,24.854,30.737,29.24,32.691,30.737,26.356,36.812,27.816,33.657,34.751,42.624,30.737,23.392,29.386,26.316,29.567,27.778,35.118,24.854,26.679,20.52,27.778,29.386,24.897,35.118,29.276,32.164,31.254,27.931,33.657,30.737,27.778,32.461,33.911,21.979,26.356,30.737,24.897,,,,,,,,,,,,,,
a,10,a_10,4,36.55,35.118,24.897,33.753,22.124,26.316,24.854,26.356,26.356,33.626,25.025,29.276,30.702,35.088,29.24,30.702,24.854,21.979,36.55,32.164,27.816,27.931,31.254,25.906,32.197,27.931,27.312,28.122,31.013,43.884,35.118,24.897,20.468,26.356,33.753,29.386,36.55,27.816,26.356,29.24,32.197,29.276,21.979,33.657,32.197,24.854,26.316,35.361,24.897,24.854,,,,,,,,,,,
a,12,a_12,3,34.13,40.145,29.567,35.572,28.724,29.603,29.819,23.799,31.254,27.931,32.461,28.387,30.979,27.931,30.527,34.751,30.527,21.287,33.657,22.364,25.238,23.574,20.676,23.437,23.392,35.361,25.025,28.724,32.691,35.149,22.364,25.238,24.112,25.025,26.478,19.006,34.13,24.112,24.507,29.386,29.386,26.958,26.356,28.387,32.691,36.986,23.574,27.739,26.679,35.361,,,,,,,,,,,
a,12,a_12,4,39.905,36.812,38.04,34.751,38.459,28.724,36.55,23.574,21.93,25.025,25.025,26.356,23.799,30.702,32.164,26.356,23.392,23.799,35.209,25.906,29.819,33.753,25.906,35.572,33.626,34.411,26.356,21.734,33.657,29.24,31.013,23.799,32.164,24.897,28.798,32.691,30.702,23.392,33.911,35.209,29.567,43.957,32.197,,,,,,,,,,,,,,,,,,
b,1,b_1,3,37.274,23.437,24.854,32.197,35.572,27.816,30.702,30.737,27.816,23.574,30.841,30.841,24.897,25.025,25.025,24.897,22.124,26.356,20.932,27.816,30.737,20.52,29.386,23.574,26.478,23.437,28.122,22.696,24.897,19.062,20.932,27.931,22.124,21.287,27.778,29.567,30.737,28.122,24.897,31.013,27.816,33.657,26.478,30.702,19.229,40.962,27.816,35.209,29.276,29.386,26.356,33.911,,,,,,,,,
b,1,b_1,4,21.93,25.906,23.116,27.931,27.816,31.013,20.932,26.356,29.567,38.459,26.679,35.572,26.958,25.906,24.897,26.478,26.679,38.459,23.392,27.931,25.025,26.958,27.816,27.931,26.478,22.364,28.122,33.911,35.118,29.567,21.979,33.911,34.13,28.122,25.238,36.666,,,,,,,,,,,,,,,,,,,,,,,,,
b,2,b_2,3,23.392,20.468,23.392,26.316,26.356,42.799,35.209,24.897,31.013,22.124,32.461,26.316,28.122,33.911,33.626,27.931,23.437,21.979,26.356,26.316,25.025,30.841,27.931,26.316,20.52,29.386,33.911,38.459,29.276,35.209,23.437,23.799,23.392,28.387,35.361,33.911,22.696,30.737,32.461,27.816,32.197,27.816,32.164,,,,,,,,,,,,,,,,,,
b,2,b_2,4,27.931,30.737,26.356,39.501,33.753,35.118,22.124,29.276,30.737,36.55,25.025,20.468,32.164,24.854,35.118,30.702,29.276,33.657,27.778,36.579,40.936,33.626,26.478,23.799,24.854,38.04,40.962,24.897,26.478,32.164,36.579,24.854,29.24,46.989,35.088,,,,,,,,,,,,,,,,,,,,,,,,,,
b,3,b_3,3,32.296,38.124,36.666,26.316,24.854,29.276,27.931,26.478,29.276,33.657,26.316,30.737,38.264,33.657,33.626,27.816,32.164,30.702,19.062,38.012,20.676,31.013,27.778,29.386,25.025,27.816,27.816,26.316,29.386,30.737,36.666,21.93,27.931,32.296,32.164,25.238,36.666,27.816,32.197,29.24,33.657,32.197,35.118,26.316,27.931,30.702,30.737,35.118,37.015,,,,,,,,,,,,
b,3,b_3,4,32.296,48.334,40.962,32.197,46.806,26.316,36.579,40.962,35.088,33.626,48.334,35.361,31.56,46.163,41.865,35.572,53.137,52.713,40.145,49.794,38.04,35.841,27.778,29.567,38.264,33.753,39.582,27.816,43.957,36.55,43.86,33.753,34.13,42.624,30.737,36.55,33.911,34.13,30.737,30.737,32.197,32.164,32.296,28.122,29.276,32.197,43.884,32.296,39.905,35.118,30.841,44.248,32.197,36.579,29.24,35.118,32.164,45.416,34.13,29.24,29.276
b,4,b_4,3,38.04,30.702,29.24,24.897,33.626,46.875,32.164,27.816,30.737,35.088,42.498,38.012,39.905,36.579,27.816,38.124,38.012,24.897,32.197,41.351,27.931,35.118,33.657,29.24,32.984,33.911,36.579,38.04,46.806,41.04,26.316,33.753,33.657,36.55,24.854,36.666,32.197,,,,,,,,,,,,,,,,,,,,,,,,
b,4,b_4,4,39.582,33.657,41.865,29.276,27.816,26.679,30.14,35.209,29.276,32.164,33.657,41.17,39.582,29.24,35.209,39.905,27.931,21.979,33.753,45.697,32.197,31.56,25.533,26.478,27.931,30.737,31.93,29.24,30.702,38.459,27.816,24.897,38.459,27.816,23.392,,,,,,,,,,,,,,,,,,,,,,,,,,
b,6,b_6,3,30.737,19.062,26.316,26.356,19.006,30.737,26.316,35.118,27.816,27.778,32.197,29.276,19.062,27.931,29.24,31.013,36.812,27.778,26.478,24.897,17.605,20.676,26.316,21.93,29.24,20.52,23.437,33.626,31.254,32.197,32.197,27.778,23.437,27.816,23.437,27.816,34.13,24.897,33.911,26.356,25.025,29.386,20.52,26.478,29.819,27.778,,,,,,,,,,,,,,,
b,6,b_6,4,20.932,33.657,30.527,29.386,25.533,24.854,28.724,30.702,31.254,19.062,28.122,30.841,37.015,29.386,23.437,32.197,26.478,22.364,23.799,29.24,31.013,30.841,26.356,29.567,20.676,19.006,20.52,27.816,21.734,23.799,24.112,23.799,30.737,26.478,24.507,27.931,22.696,19.615,31.013,26.958,19.006,23.799,32.362,24.112,27.931,25.238,28.122,27.739,22.364,,,,,,,,,,,,
b,7,b_7,3,29.24,39.582,20.52,26.356,30.841,26.316,33.626,33.753,38.04,38.04,32.197,17.605,26.316,28.387,22.364,33.657,35.118,32.691,30.737,36.579,28.122,33.657,24.854,24.854,35.088,33.753,36.55,26.356,33.657,21.93,29.24,33.626,35.209,26.356,32.164,24.897,21.93,29.276,29.386,26.356,36.579,35.209,32.296,35.118,35.209,21.93,35.118,39.501,38.04,25.238,26.478,30.841,22.124,40.936,36.55,,,,,,
b,7,b_7,4,31.254,30.737,24.854,42.398,33.753,32.296,23.574,33.753,26.478,24.897,29.276,30.737,26.316,27.931,23.799,23.799,36.55,33.911,25.025,25.025,27.931,30.737,38.264,22.124,40.962,32.164,32.197,25.238,27.778,32.164,33.753,33.911,29.24,32.296,30.702,35.209,27.931,22.124,29.819,29.24,35.088,33.657,36.666,,,,,,,,,,,,,,,,,,
c,1,c_1,3,21.979,29.13,31.013,21.93,22.124,20.52,37.274,33.753,23.574,22.124,19.062,24.854,24.112,32.691,24.112,22.124,29.276,30.737,20.932,31.254,29.567,31.254,30.841,22.364,23.392,23.799,24.897,32.984,25.025,23.437,22.124,23.437,27.931,25.025,20.676,27.816,23.574,23.437,25.238,24.507,35.841,21.93,17.786,23.799,25.906,29.567,29.819,25.025,29.567,20.52,,,,,,,,,,,
c,1,c_1,4,27.816,27.816,30.737,23.437,17.605,23.574,30.702,19.006,30.702,24.897,23.437,26.316,29.386,33.657,26.316,26.316,26.356,29.276,25.025,23.392,30.702,24.854,29.386,26.478,24.854,26.478,23.799,33.753,36.55,20.52,26.356,27.778,26.356,25.025,33.626,32.197,32.164,24.897,31.254,23.392,24.854,19.062,17.605,32.197,23.437,29.24,24.897,27.778,23.574,19.062,,,,,,,,,,,
c,2,c_2,3,35.572,32.461,33.911,29.24,26.356,26.356,19.505,21.979,26.478,23.437,37.274,39.905,36.168,33.911,26.316,27.931,16.346,27.816,29.276,26.316,29.24,33.911,42.799,38.124,29.386,32.461,27.778,38.124,38.264,35.118,31.254,39.905,32.296,26.679,26.958,25.238,29.24,29.567,27.931,,,,,,,,,,,,,,,,,,,,,,
c,2,c_2,4,30.702,29.24,23.799,31.013,35.118,26.478,38.04,33.626,29.386,29.24,33.657,38.459,32.296,32.197,24.854,33.753,35.572,23.392,24.854,23.574,32.296,27.816,23.392,24.897,23.437,29.276,27.816,30.702,36.55,21.93,26.316,36.579,26.316,26.478,24.854,25.025,24.854,30.702,33.626,32.164,23.574,21.93,32.164,33.626,27.778,30.737,30.702,35.088,33.657,,,,,,,,,,,,
c,3,c_3,3,25.025,25.533,20.676,25.238,25.533,25.025,25.238,29.386,32.164,28.724,31.254,29.386,27.931,30.14,19.062,34.13,27.739,20.932,27.816,24.897,35.209,33.753,29.276,26.478,33.657,32.296,21.979,19.229,24.112,31.013,32.296,23.437,29.276,24.112,17.544,23.437,25.533,20.676,17.112,,,,,,,,,,,,,,,,,,,,,,
c,3,c_3,4,31.288,32.097,26.153,24.507,28.122,23.574,24.2,28.835,23.619,24.982,30.737,28.835,27.931,35.602,32.362,26.03,27.468,25.574,28.835,28.835,26.356,28.798,25.533,27.468,25.574,22.884,31.39,23.574,23.799,25.906,34.005,31.492,29.422,19.669,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,4,c_4,3,23.392,23.799,36.55,20.52,32.197,30.737,29.567,24.897,27.778,19.062,20.52,23.437,29.276,33.657,27.816,23.392,35.118,25.025,30.737,32.461,21.93,19.062,20.468,24.854,17.544,32.164,33.626,32.197,32.164,27.931,27.816,26.478,24.854,24.854,35.118,35.572,23.392,33.657,30.737,23.392,21.979,29.24,30.737,35.209,27.778,27.816,29.386,24.854,29.24,30.737,29.24,27.931,35.118,,,,,,,,
c,4,c_4,4,34.411,27.931,27.778,25.906,23.574,29.819,29.386,28.724,27.312,36.666,31.56,36.812,26.679,27.816,25.533,33.911,22.696,31.254,29.276,31.254,44.728,32.984,36.55,31.56,24.112,20.676,20.932,25.533,29.386,28.387,35.361,28.122,26.356,23.574,29.567,35.361,20.676,31.254,31.254,31.254,23.799,22.696,37.015,32.197,23.799,30.14,29.386,35.572,31.254,,,,,,,,,,,,
c,5,c_5,3,33.911,27.778,32.296,32.296,36.55,30.841,34.411,38.264,33.338,31.56,26.478,28.387,29.386,33.911,29.819,26.958,29.819,35.209,32.197,23.574,26.958,35.361,29.276,29.567,22.364,28.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,5,c_5,4,32.984,33.753,27.931,30.702,27.931,36.812,27.778,35.118,35.088,32.164,32.197,22.124,29.276,33.911,24.854,32.164,35.088,30.841,29.386,22.364,19.062,17.544,24.897,26.316,29.24,24.854,30.841,33.657,36.55,33.911,29.24,43.884,27.931,39.582,39.582,32.197,,,,,,,,,,,,,,,,,,,,,,,,,
c,6,c_6,3,27.778,38.264,23.799,20.676,32.197,39.582,27.778,27.816,29.386,27.816,26.316,25.533,25.025,32.164,31.254,22.124,38.012,23.574,33.911,30.841,27.931,29.819,25.025,24.897,26.478,26.679,29.276,32.461,32.691,30.737,36.666,26.679,28.122,25.238,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,6,c_6,4,30.702,27.931,30.737,29.276,30.702,35.118,24.897,26.356,29.276,36.666,33.626,27.778,21.93,31.013,24.854,32.164,29.24,24.897,22.124,25.238,23.437,19.006,24.854,17.605,29.24,23.392,23.574,27.778,24.854,31.013,20.52,28.122,30.737,30.737,39.501,39.474,26.679,35.118,19.006,37.015,42.624,23.574,29.386,,,,,,,,,,,,,,,,,,
c,7,c_7,3,24.854,35.361,39.582,30.737,25.025,30.737,23.437,32.164,36.55,25.025,21.979,30.737,23.392,29.567,26.356,32.197,19.006,32.197,30.702,29.24,26.356,19.229,26.356,19.229,27.816,30.737,20.52,26.316,32.164,30.841,33.657,29.386,30.737,24.854,21.979,28.122,27.931,30.841,29.276,25.025,27.816,35.118,39.717,26.356,36.812,38.012,31.254,33.753,32.461,25.025,36.55,29.24,,,,,,,,,
c,7,c_7,4,29.567,38.04,41.865,36.55,30.14,35.841,36.812,30.702,32.691,40.936,35.209,42.423,32.197,29.386,29.386,39.717,35.572,29.819,31.56,34.751,30.979,26.316,32.461,32.461,33.911,23.574,38.708,32.691,31.254,31.013,32.691,29.567,38.708,35.572,23.799,31.254,29.386,33.753,26.356,27.931,,,,,,,,,,,,,,,,,,,,,
