PopID,Altitude,180knob%,180knobMB,TR1%,TR1MB,FISH180,FISHtr1
RIMME0029,1547,6.378347888,176.0424017,0.800933421,22.10576242,13,8
RIMME0033,1657,7.318051676,198.8680543,0.583842966,15.86593261,13.5,8
RIMME0028,1916,9.04928567,252.9275345,1.141176343,31.89587879,18,10
RIMME0032,2016,8.60947068,259.8343522,0.973829606,29.16955973,7.5,3.5
RIMME0021,2094,10.87630167,329.8238482,1.117374766,33.88438977,16,9
RIMME0034,2173,5.063438529,138.4850438,0.306170598,8.373765868,7,3
RIMMME026,2214,11.49180666,353.9476452,0.371718557,11.44893155,21,7
RIMME0035,2237,14.68749157,464.1247336,0.773629027,24.44667726,21,9
RIMME0030,2458,11.19971377,329.8315705,0.456858898,13.45449454,15,5.5
RIMME0031,2609,14.54428109,459.9628895,0.571657517,18.07866898,20,7
