FullID,Population,IndID,PopName,AB10Freq,ab10round,Species,Region,Group,Altitude,1C_GS,GS_bp,Total_Reads,Total_corr,180knobreads,180knob%,180knobbp,TR1total,TR1%,TR1bp,CentCreads,CentC%,CentCbp,Cpreads,CP%,CPbp,mtreads,mt%,mtbp,cDNAreads,cDNA%,cDNAbp,TotallTereads,TotallTe%,TotallTebp,TotFTereads,TotFTe%,TotFTebp,Gsnoknob,GSno180,GSnoTR1
RIL0001.1,RIL0001,1,NA,NA,NA,luxurians,ML,1,NA,4.58,4479240000,1357752,1291657.667,121031,9.370207225,419714070.1,1243,0.096232929,4310503.831,4825,0.37355099,16732245.36,25640,1.985046089,88914978.45,10807,0.836676797,37476761.78,55287.33333,4.280339502,191726679.1,899325,69.62564642,3118699805,247590,19.16839162,858598265,4055215426,4059525930,4474929496
RIMMA0388.1,RIMMA0388,1,NA,0,0,mays,SAL,1,1500,3.32,3246960000,1490485,1398276.833,164692,11.7782113,382433809.7,16274,1.16386109,37790104.06,3992,0.285494253,9269884.197,46675,3.338037139,108384730.7,22354,1.598681997,51908564.96,69854.16667,4.995732247,162209427.8,953727,68.20730897,2214664039,285513,2424077.754,662994099.9,2826736086,2864526190,3209169896
RIMMA0389.1,RIMMA0389,1,NA,0,0,mays,SAL,1,7,3.145,3075810000,736299,675537.5,82058,12.14706808,373620734.6,9991,1.478970449,45490320.98,2159,0.319597358,9830207.487,55720,8.248246766,253700398.9,27306,4.042114612,124327765.5,33455.5,4.952426771,152327237.9,455269,67.39359399,2072898903,141420,1164231.559,643903632.6,2656698944,2702189265,3030319679
RIMMA0390.1,RIMMA0390,1,NA,0,0,mays,SAL,1,353,3.17,3100260000,1165365,1085096.833,116373,10.72466497,332492498.3,13979,1.288272122,39939785.29,2549,0.23490991,7282817.991,64940,5.984719336,185541859.7,27388,2.52401437,78251007.9,52880.16667,4.87331315,151085378.3,718006,66.16976273,2051434686,211424,1971380.929,604065324,2727827716,2767767502,3060320215
RIMMA0391.1B,RIMMA0391,1B,NA,0.428571429,0,mays,SAL,1,700,3.335,3261630000,1269642,1159415.333,116162,10.01901533,326783209.7,12639,1.09011841,35555629.1,3378,0.291353746,9502881.171,105508,9.100103903,296811718.9,52905,4.563075757,148830647.8,57321.66667,4.944014886,161255472.7,758480,65.41917967,2133731590,219538,2191213.335,617597254.7,2899291161,2934846790,3226074371
RIMMA0392.1,RIMMA0392,1,NA,1,1,mays,SAL,1,555,3.385,3310530000,441300,408150,50725,12.42802891,411433625.5,3657,0.89599412,29662154.13,1219,0.298664707,9887384.712,39352,9.64155335,319186516.1,14475,3.546490261,117407624,18675,4.575523705,151474084.9,260426,63.80644371,2112331461,78395,630791.9024,635866714.1,2869434220,2899096374,3280867846
RIMMA0393.1,RIMMA0393,1,NA,0,0,mays,SAL,1,100,3.2,3129600000,1438679,1323169.5,143868,10.87298339,340280888.3,20911,1.580371978,49459321.42,3382,0.255598395,7999207.358,125357,9.473994073,296498118.5,53125,4.014980696,125652835.9,62384.5,4.714777661,147553681.7,855783,64.67674776,2024123498,257539,2368613.937,609138930.7,2739859790,2789319112,3080140679
RIMMA0394.2,RIMMA0394,2,NA,0,0,mays,SAL,1,1000,3.29,3217620000,1025839,947408,115234,12.16308074,391361718.6,16715,1.764287403,56768064.34,2695,0.284460338,9152852.731,69848,7.372536436,237220206.9,31794,3.355893132,107979888.6,46637,4.92258879,158390201.4,634430,66.96481347,2154673231,196821,1618183.782,668450325.5,2769490217,2826258281,3160851936
RIMMA0395.2,RIMMA0395,2,NA,0,0,mays,SAL,1,30,3.425,3349650000,1243517,1135583.167,118753,10.45744631,350287850.4,18043,1.588875261,53221760.17,4074,0.3587584,12017150.75,114424,10.07623249,337518521.6,50907,4.482894912,150161289.4,57026.83333,5.02181038,168213071.4,755227,66.50565297,2227706605,235296,2250033.067,694056824.3,2946140389,2999362150,3296428240
RIMMA0396.1,RIMMA0396,1,NA,0.153846154,0,mays,SAL,1,1100,3.025,2958450000,855315,793325,84317,10.62830492,314433086.9,13099,1.651151798,48848500.36,2292,0.288910598,8547275.581,56822,7.162512211,211899342.5,24024,3.028267104,89589768.13,37966,4.785680522,141581965.4,524013,66.05275265,1954137661,156570,1473141.777,583877372.5,2595168413,2644016913,2909601500
