FullID,uniqid,Population,IndID,PopName,AB10Freq,ab10round,Species,Region,Group,Altitude,1C_GS,GS_bp,Total_Reads,Total_corr,180knobreads,180knob%,180knobbp,TR1total,TR1%,TR1bp,CentCreads,CentC%,CentCbp,Cpreads,CP%,CPbp,mtreads,mt%,mtbp,cDNAreads,cDNA%,cDNAbp,TotallTereads,TotallTe%,TotallTebp,TotFTereads,TotFTe%,TotFTebp,Gsnoknob,GSno180,GSnoTR1
RIMMA0381.1,RIMMA0381_1,RIMMA0381,1,NA,0,0,mays,SWUS,1,457,2.795,2733510000,1012846,932928.5,32771,3.512702206,96020066.07,5080,0.544521901,14884560.61,4031,0.432080272,11810957.44,74641,8.000720312,218700489.8,29834,3.197887084,87414563.22,50083.5,5.368417837,146746238.4,629305,67.45479423,1843883546,161562,4599365.119,473381767.9,2622605373,2637489934,2718625439
RIMMA0382.1,RIMMA0382_1,RIMMA0382,1,NA,0,0,mays,SWUS,1,1067,3.04,2973120000,944146,874006.5,74138,8.48254561,252196260.1,9613,1.099877404,32700675.06,2462,0.281691269,8375019.454,77192,8.831970929,262585094.1,27279,3.121143836,92795351.61,42860.5,4.903910898,145799155.7,563987,64.52892513,1918522379,162858,1919918.943,553996311.2,2688223065,2720923740,2940419325
RIMMA0383.1,RIMMA0383_1,RIMMA0383,1,NA,0,0,mays,SWUS,1,2073,3.28,3207840000,435518,406153,19592,4.823797928,154739719.5,1999,0.492179056,15788316.62,1587,0.39073945,12534296.39,23141,5.697606567,182770102.5,8397,2.067447489,66320407.53,20968,5.162586513,165607515.2,272245,67.03015859,2150220239,73532,1524359.044,580763630.7,3037311964,3053100281,3192051683
RIMMA0385.1,RIMMA0385_1,RIMMA0385,1,NA,1,1,mays,SWUS,1,2134,2.735,2674830000,1328977,1219915,20099,1.647573806,44069798.44,2749,0.225343569,6027557.387,4469,0.366336999,9798891.947,87391,7.163695831,191616685.2,37185,3.048163192,81533183.5,71877,5.891967883,157600124.5,858733,70.39285524,1882889210,225260,13672225.13,493913269.2,2624732644,2630760202,2668802443
RIMMA0387.1,RIMMA0387_1,RIMMA0387,1,NA,0,0,mays,SWUS,1,1829,3.065,2997570000,424132,393797.5,49568,12.58717996,377309530.3,3205,0.813870073,24396325.14,1043,0.264856938,7939272.113,33560,8.522146535,255457307.9,10970,2.785695694,83503178.41,19364.5,4.917375047,147401759.2,256917,65.24089157,1955641394,79940,635090.626,608499916.3,2595864145,2620260470,2973173675
RIMMA0388.1,RIMMA0388_1,RIMMA0388,1,NA,0,0,mays,SAL,1,1500,3.32,3246960000,1490485,1398276.833,164692,11.7782113,382433809.7,16274,1.16386109,37790104.06,3992,0.285494253,9269884.197,46675,3.338037139,108384730.7,22354,1.598681997,51908564.96,69854.16667,4.995732247,162209427.8,953727,68.20730897,2214664039,285513,2424077.754,662994099.9,2826736086,2864526190,3209169896
RIMMA0389.1,RIMMA0389_1,RIMMA0389,1,NA,0,0,mays,SAL,1,7,3.145,3075810000,736299,675537.5,82058,12.14706808,373620734.6,9991,1.478970449,45490320.98,2159,0.319597358,9830207.487,55720,8.248246766,253700398.9,27306,4.042114612,124327765.5,33455.5,4.952426771,152327237.9,455269,67.39359399,2072898903,141420,1164231.559,643903632.6,2656698944,2702189265,3030319679
RIMMA0390.1,RIMMA0390_1,RIMMA0390,1,NA,0,0,mays,SAL,1,353,3.17,3100260000,1165365,1085096.833,116373,10.72466497,332492498.3,13979,1.288272122,39939785.29,2549,0.23490991,7282817.991,64940,5.984719336,185541859.7,27388,2.52401437,78251007.9,52880.16667,4.87331315,151085378.3,718006,66.16976273,2051434686,211424,1971380.929,604065324,2727827716,2767767502,3060320215
RIMMA0391.1B,RIMMA0391_1B,RIMMA0391,1B,NA,0.428571429,0,mays,SAL,1,700,3.335,3261630000,1269642,1159415.333,116162,10.01901533,326783209.7,12639,1.09011841,35555629.1,3378,0.291353746,9502881.171,105508,9.100103903,296811718.9,52905,4.563075757,148830647.8,57321.66667,4.944014886,161255472.7,758480,65.41917967,2133731590,219538,2191213.335,617597254.7,2899291161,2934846790,3226074371
RIMMA0392.1,RIMMA0392_1,RIMMA0392,1,NA,1,1,mays,SAL,1,555,3.385,3310530000,441300,408150,50725,12.42802891,411433625.5,3657,0.89599412,29662154.13,1219,0.298664707,9887384.712,39352,9.64155335,319186516.1,14475,3.546490261,117407624,18675,4.575523705,151474084.9,260426,63.80644371,2112331461,78395,630791.9024,635866714.1,2869434220,2899096374,3280867846
