FullID,Population,IndID,AB10Freq,ab10round,Species,Region,Group,Altitude,1C_GS,Total_Reads,Total_corr,180knobreads,180knob%,180knobMB,180knobuncorMB,TR1total,TR1%,TR1MB,TR1uncorMB,CentCreads,CentC%,CentCMB,CentCuncorMB,Cpreads,CP%,CPMB,CPuncorMB,mtreads,mt%,mtMB,mtuncorMB,cDNAreads,cDNA%,cDNAMB,cDNAuncorMB,TotallTereads,TotallTe%,TotallTeMB,TotallTeuncorMB,TotFTereads,TotFTe%,TotFTeMB,TotFTeuncorMB,CRMallreads,CRMall%,CRMallMB
RIMMA0388.1,RIMMA0388,1,0,0,mays,SAL,1,1500,3.32,1490485,1398276.833,164692,11.7782113,391.0366152,366.8453155,16274,1.16386109,38.6401882,36.24973079,3992,0.285494253,9.478409199,8.892031788,46675,3.338037139,110.822833,103.9668296,22354,1.598681997,53.07624229,49.79270506,69854.16667,4.995732247,165.8583106,155.5975628,953727,68.20730897,2264.482658,2124.391483,285513,2424077.754,677.9080776,635.9696072,4105.333334,0.293599467,9.747502316
RIMMA0389.1,RIMMA0389,1,0,0,mays,SAL,1,7,3.145,736299,675537.5,82058,12.14706808,382.025291,350.499471,9991,1.478970449,46.51362064,42.67518359,2159,0.319597358,10.0513369,9.221871821,55720,8.248246766,259.4073608,238.0003232,27306,4.042114612,127.1245046,116.6338267,33455.5,4.952426771,155.753822,142.900571,455269,67.39359399,2119.528531,1944.618973,141420,1164231.559,658.3881724,604.0560968,2208.25,0.326887849,10.28062284
RIMMA0390.1,RIMMA0390,1,0,0,mays,SAL,1,353,3.17,1165365,1085096.833,116373,10.72466497,339.9718796,316.5552509,13979,1.288272122,40.83822627,38.02536544,2549,0.23490991,7.446644163,6.933733208,64940,5.984719336,189.715603,176.6483462,27388,2.52401437,80.01125552,74.50022954,52880.16667,4.87331315,154.4840268,143.8434553,718006,66.16976273,2097.581479,1953.10398,211424,1971380.929,617.6537056,575.1108708,3023.333333,0.278623367,8.83236074
RIMMA0391.1B,RIMMA0391,1B,0.428571429,0,mays,SAL,1,700,3.335,1269642,1159415.333,116162,10.01901533,334.1341613,305.1255945,12639,1.09011841,36.35544898,33.19917347,3378,0.291353746,9.716647414,8.873076032,105508,9.100103903,303.4884652,277.1404695,52905,4.563075757,152.1785765,138.9668702,57321.66667,4.944014886,164.8828964,150.5682376,758480,65.41917967,2181.729642,1992.31815,219538,2191213.335,631.4900355,576.6658869,3437.5,0.296485643,9.88779618
RIMMA0392.1,RIMMA0392,1,1,1,mays,SAL,1,555,3.385,441300,408150,50725,12.42802891,420.6887786,389.0870723,3657,0.89599412,30.32940096,28.0510877,1219,0.298664707,10.10980032,9.350362565,39352,9.64155335,326.3665809,301.8502606,14475,3.546490261,120.0486953,111.0307614,18675,4.575523705,154.8814774,143.2469409,260426,63.80644371,2159.84812,1997.602561,78395,630791.9024,650.1704643,601.3303308,1289,0.315815264,10.69034669
RIMMA0393.1,RIMMA0393,1,0,0,mays,SAL,1,100,3.2,1438679,1323169.5,143868,10.87298339,347.9354686,320.0002224,20911,1.580371978,50.5719033,46.51155678,3382,0.255598395,8.179148628,7.522456364,125357,9.473994073,303.1678103,278.8268961,53125,4.014980696,128.4793823,118.1639546,62384.5,4.714777661,150.8728851,138.7595148,855783,64.67674776,2069.655928,1903.486184,257539,2368613.937,622.8414425,572.8343849,4229,0.319611357,10.22756344
RIMMA0394.2,RIMMA0394,2,0,0,mays,SAL,1,1000,3.29,1025839,947408,115234,12.16308074,400.1653564,369.5705271,16715,1.764287403,58.04505556,53.60719372,2695,0.284460338,9.358745124,8.643217893,69848,7.372536436,242.5564488,224.0116821,31794,3.355893132,110.408884,101.9675212,46637,4.92258879,161.9531712,149.5709658,634430,66.96481347,2203.142363,2034.700085,196821,1618183.782,683.4870404,631.2307194,3090.666667,0.326223408,10.73275013
RIMMA0395.2,RIMMA0395,2,0,0,mays,SAL,1,30,3.425,1243517,1135583.167,118753,10.45744631,358.1675362,327.0795856,18043,1.588875261,54.41897768,49.69556106,4074,0.3587584,12.2874752,11.22095637,114424,10.07623249,345.1109628,315.1562866,50907,4.482894912,153.5391507,140.2123775,57026.83333,5.02181038,171.9970055,157.0681415,755227,66.50565297,2277.818614,2080.110264,235296,2250033.067,709.6695545,648.0722017,4242.333334,0.373581914,12.79518057
RIMMA0396.1,RIMMA0396,1,0.153846154,0,mays,SAL,1,1100,3.025,855315,793325,84317,10.62830492,321.5062238,298.2046673,13099,1.651151798,49.94734188,46.32734723,2292,0.288910598,8.739545583,8.106136336,56822,7.162512211,216.6659944,200.9628616,24024,3.028267104,91.60507989,84.96588976,37966,4.785680522,144.7668358,134.2746824,524013,66.05275265,1998.095768,1853.281335,156570,1473141.777,597.0116283,553.7424808,2287.416667,0.288332861,8.722069034
RIMMA0397.1,RIMMA0397,1,1,1,mays,SAL,1,50,2.97,516795,478881,47349,9.88742506,293.6565243,272.1127913,8191,1.71044581,50.80024056,47.0733463,1362,0.284413038,8.447067225,7.827359011,35003,7.309331546,217.0871469,201.1608278,13688,2.858330149,84.89240542,78.66438336,24226,5.05887684,150.2486421,139.2258439,325423,67.95487814,2018.259881,1870.192842,99444,1005762.364,616.7475427,571.5006531,1701.666667,0.355342281,10.55366573
RIMMA0398.1,RIMMA0398,1,0,0,mays,SAL,1,27,3.335,1143610,1063838.5,104658,9.837771429,328.0896771,305.2040731,17565,1.651096478,55.06406753,51.22312239,3705,0.348267148,11.61470938,10.80453564,65259,6.13429576,204.5787636,190.3085536,27945,2.626808486,87.60406302,81.4933194,51826.5,4.871651101,162.4695642,151.136644,709957,66.73541144,2225.625971,2070.379408,209542,2129974.268,656.8878359,611.0672082,3519.333333,0.330814624,11.03266771
