"","V1","RIMMA0381.1.fastq.abund","RIMMA0382.1.fastq.abund","RIMMA0383.1.fastq.abund","RIMMA0384.1.fastq.abund","RIMMA0385.1.fastq.abund","RIMMA0387.1.fastq.abund","RIMMA0388.1.fastq.abund","RIMMA0389.1.fastq.abund","RIMMA0390.1.fastq.abund","RIMMA0391.1B.fastq.abund","RIMMA0392.1.fastq.abund","RIMMA0393.1.fastq.abund","RIMMA0394.2.fastq.abund","RIMMA0395.2.fastq.abund","RIMMA0396.1.fastq.abund","RIMMA0397.1.fastq.abund","RIMMA0398.1.fastq.abund","RIMMA0399.1.fastq.abund","RIMMA0403.2.fastq.abund","RIMMA0404.1.fastq.abund","RIMMA0405.1B.fastq.abund","RIMMA0406.1.fastq.abund","RIMMA0407.1.fastq.abund","RIMMA0409.1.fastq.abund","RIMMA0410.1B.fastq.abund","RIMMA0415.1.fastq.abund","RIMMA0416.1.fastq.abund","RIMMA0417.1.fastq.abund","RIMMA0418.1.fastq.abund","RIMMA0421.1.fastq.abund","RIMMA0422.1.fastq.abund","RIMMA0423.1.fastq.abund","RIMMA0424.1.fastq.abund","RIMMA0425.1.fastq.abund","RIMMA0426.1.fastq.abund","RIMMA0428.1.fastq.abund","RIMMA0430.1.fastq.abund","RIMMA0431.1.fastq.abund","RIMMA0433.1.fastq.abund","RIMMA0436.1.fastq.abund","RIMMA0437.1.fastq.abund","RIMMA0438.1.fastq.abund","RIMMA0439.1.fastq.abund","RIMMA0441.1.fastq.abund","RIMMA0462.1.fastq.abund","RIMMA0464.1.fastq.abund","RIMMA0465.1.fastq.abund","RIMMA0466.1.fastq.abund","RIMMA0467.1.fastq.abund","RIMMA0468.1.fastq.abund","RIMMA0473.1.fastq.abund","RIMMA0614.1.fastq.abund","RIMMA0615.1.fastq.abund","RIMMA0616.1.fastq.abund","RIMMA0619.1.fastq.abund","RIMMA0620.1.fastq.abund","RIMMA0621.1.fastq.abund","RIMMA0623.1.fastq.abund","RIMMA0625.1.fastq.abund","RIMMA0626.2.fastq.abund","RIMMA0628.1.fastq.abund","RIMMA0630.1.fastq.abund","RIMMA0656.1.fastq.abund","RIMMA0657.1.fastq.abund","RIMMA0658.1.fastq.abund","RIMMA0661.1.fastq.abund","RIMMA0662.1.fastq.abund","RIMMA0663.1.fastq.abund","RIMMA0664.1.fastq.abund","RIMMA0665.1.fastq.abund","RIMMA0667.1.fastq.abund","RIMMA0668.1.fastq.abund","RIMMA0670.1.fastq.abund","RIMMA0671.1.fastq.abund","RIMMA0672.1.fastq.abund","RIMMA0674.1.fastq.abund","RIMMA0677.1.fastq.abund","RIMMA0680.1.fastq.abund","RIMMA0682.1.fastq.abund","RIMMA0687.1.fastq.abund","RIMMA0690.1.fastq.abund","RIMMA0691.1.fastq.abund","RIMMA0696.1.fastq.abund","RIMMA0700.1.fastq.abund","RIMMA0701.1.fastq.abund","RIMMA0702.1.fastq.abund","RIMMA0703.1.fastq.abund","RIMMA0707.1.fastq.abund","RIMMA0708.1.fastq.abund","RIMMA0709.1.fastq.abund","RIMMA0710.1.fastq.abund","RIMMA0712.1.fastq.abund","RIMMA0716.1.fastq.abund","RIMMA0720.1.fastq.abund","RIMMA0721.1.fastq.abund","RIMMA0722.1.fastq.abund","RIMMA0727.1.fastq.abund","RIMMA0729.1.fastq.abund","RIMMA0730.1.fastq.abund","RIMMA0731.1.fastq.abund","RIMMA0733.1.fastq.abund"
"1","RLG_xilon-diguus_AC203313-7774",0.018112164,0.015630263,0.017061101,0.018089259,0.019953493,0.015104849,0.018605393,0.019572551,0.017515828,0.017552586,0.015480776,0.018185838,0.019485978,0.017869009,0.017308419,0.017301831,0.018537788,0.017895256,0.016477829,0.018126421,0.019226005,0.019994389,0.016384476,0.019465129,0.017613924,0.015314406,0.017369356,0.018389073,0.018048179,0.019239998,0.014195839,0.017140326,0.01813833,0.018848432,0.017762164,0.017576208,0.017387427,0.019040993,0.019476689,0.019785409,0.019228952,0.018985011,0.01728935,0.020391842,0.018130692,0.016968168,0.018183809,0.017875633,0.01564327,0.016987938,0.019147871,0.020030731,0.019283201,0.019545933,0.020014693,0.019970731,0.018482695,0.018666592,0.015005797,0.019905394,0.018829784,0.019461785,0.01847781,0.018760275,0.017131293,0.018115723,0.018119041,0.018384327,0.018551492,0.020629903,0.018003345,0.019486363,0.018464218,0.018284367,0.018007756,0.018744746,0.017556241,0.018225227,0.017539824,0.01752216,0.020593234,0.019081626,0.019965803,0.019916427,0.017891076,0.017710835,0.01762678,0.021139834,0.017335331,0.019208867,0.019789837,0.018567477,0.018586676,0.019022897,0.017743688,0.01883749,0.017980822,0.020232857,0.017857171,0.019907841,0.016692935
"2","RLX_osed_AC191084-2931",0.007606258,0.01881787,0.011003654,0.002042608,0.00377203,0.032320145,0.026201475,0.028120014,0.023432285,0.021499629,0.029635269,0.023122026,0.026589779,0.024154968,0.024031897,0.025252418,0.021121488,0.02520731,0.026121667,0.030715087,0.02634023,0.02157066,0.028674936,0.017436562,0.020073312,0.028458688,0.012162954,0.009765574,0.014030841,0.006768065,0.022447528,0.009813858,0.008103512,0.007537109,0.001432071,0.013459715,0.001763488,0.002957434,0.020797069,0.004729072,0.001980571,0.001531282,0.00224929,0.004613239,0.01684144,0.003595286,0.001939278,0.002542436,0.001847578,0.001909265,0.001459799,0.019952444,0.018422996,0.016846897,0.014514452,0.019793759,0.020178274,0.005683635,0.008007967,0.004571124,0.017374539,0.005537737,0.002406811,0.001988526,0.003577419,0.002211463,0.001363599,0.001748361,0.002304465,0.001616329,0.00204345,0.001751571,0.004704192,0.014295114,0.018261007,0.007162875,0.020241464,0.026448353,0.017221297,0.02309553,0.017503465,0.028088858,0.008700439,0.015266587,0.02104534,0.023270485,0.018080884,0.013141236,0.003120032,0.017426289,0.017936917,0.009165463,0.017329415,0.02182362,0.025209679,0.024559867,0.026838935,0.021283435,0.013559423,0.024415183,0.027425405
"3","RLG_doke_AC197224-5479",0.009205314,0.006706544,0.007912794,0.009594871,0.01016317,0.006163527,0.010512934,0.008493415,0.007782074,0.008047089,0.006170578,0.008040036,0.009937926,0.007738145,0.008449766,0.00713403,0.008322425,0.008290465,0.008069987,0.007465827,0.009272858,0.010589041,0.008282925,0.01097964,0.006507118,0.007560284,0.008505625,0.011068508,0.009222321,0.012166966,0.007560475,0.009175991,0.009025026,0.010996106,0.008771172,0.008783643,0.008381586,0.010297533,0.010592331,0.010764424,0.01063751,0.009207953,0.008776677,0.01006823,0.010548488,0.007849301,0.009002111,0.008668088,0.006586544,0.007702563,0.009495641,0.010638353,0.009086786,0.009911705,0.009407319,0.009570686,0.007921885,0.008624215,0.006416346,0.01011473,0.009035376,0.009832261,0.009178086,0.010239757,0.008049159,0.009963782,0.008491021,0.008727907,0.00811154,0.01004769,0.009362197,0.010595046,0.008663697,0.009570169,0.007837286,0.009146922,0.007807921,0.008800119,0.00795882,0.007873628,0.010091416,0.009320839,0.009466644,0.008869353,0.007595542,0.007210068,0.007933781,0.011431676,0.00736973,0.009554102,0.009096727,0.008297863,0.008803362,0.008833077,0.007251214,0.008633331,0.007576423,0.009976392,0.008897886,0.009962885,0.007509345
"4","RLC_ji_AC186528-1508",0.008234223,0.007819059,0.007907825,0.008772741,0.010021932,0.008709946,0.007988496,0.008672994,0.008023952,0.007609822,0.007575912,0.00743425,0.007790534,0.008518407,0.007599052,0.008797331,0.008121941,0.007626593,0.008182322,0.009120232,0.00886562,0.007999189,0.007337342,0.007685407,0.007612449,0.007781583,0.008141602,0.007928899,0.007613367,0.008416741,0.007782117,0.00770582,0.008139209,0.008299987,0.008513748,0.007911555,0.009808397,0.008744193,0.008013993,0.009386926,0.008151002,0.009682972,0.009334213,0.008989639,0.008109787,0.009060718,0.01006308,0.00943997,0.008898426,0.009063721,0.009566567,0.009172887,0.008940162,0.008056968,0.008819422,0.008655373,0.008468297,0.00879349,0.008243635,0.009297788,0.007722857,0.008673325,0.009935868,0.009476641,0.008853502,0.008910189,0.009637127,0.009782441,0.008979528,0.010235733,0.009244783,0.009974026,0.008710312,0.00875528,0.009253066,0.008763098,0.008728147,0.008424904,0.009101612,0.009072136,0.008993138,0.008889273,0.007992262,0.009359613,0.008334305,0.008185848,0.008423147,0.008693949,0.008213191,0.008439812,0.009036269,0.008902716,0.0076755,0.008748152,0.008730918,0.008705149,0.008791784,0.009161696,0.008565563,0.008821661,0.007822173
"5","RLC_giepum_AC211251-11074",0.008143225,0.007647475,0.008231003,0.008482924,0.009114906,0.00741593,0.007983084,0.007899644,0.008227894,0.007821234,0.008235516,0.007844465,0.007719048,0.008000427,0.007472101,0.007982211,0.007924322,0.007366946,0.007335201,0.008167016,0.007953366,0.008038353,0.007146971,0.007499185,0.007384322,0.007707933,0.007867853,0.007816342,0.00770437,0.00804067,0.007605332,0.007576578,0.007995017,0.008192876,0.008629539,0.007958132,0.00919533,0.008743883,0.007856799,0.009122985,0.008987796,0.009512641,0.008659298,0.009187738,0.007896257,0.008580674,0.009517045,0.009366343,0.009478226,0.008851074,0.009085022,0.008200664,0.008179717,0.007750837,0.008154426,0.008116827,0.00801097,0.008522196,0.00817221,0.008497122,0.007704351,0.009007348,0.009462929,0.009068143,0.009288115,0.009064583,0.009084545,0.009036744,0.009605005,0.00935711,0.008939325,0.009639934,0.008901703,0.008339372,0.008310742,0.008906617,0.008068402,0.007300071,0.007884089,0.008100392,0.008450615,0.007980346,0.008283859,0.008646486,0.007634354,0.007799577,0.007710328,0.008434026,0.008524663,0.007848466,0.008266516,0.008403626,0.007609714,0.008127104,0.007927629,0.008152,0.008232655,0.008602178,0.008176537,0.007653941,0.006915913
"6","RLX_sari_AC184117-11",0.005032354,0.010218405,0.004599045,0.002164915,0.002066251,0.007573114,0.010933638,0.013586904,0.012033998,0.009980372,0.008304441,0.014577933,0.016331849,0.014517118,0.015359574,0.01587467,0.0153954,0.017665796,0.008835794,0.016793519,0.012142441,0.012510909,0.014200956,0.008617199,0.017539168,0.005759051,0.002739774,0.004321156,0.005073505,0.00129808,0.004537066,0.005638177,0.004169438,0.003600918,0.001314235,0.005538978,0.001213065,0.001782141,0.015219009,0.001592365,0.000794538,0.001660073,0.000902619,0.00297261,0.003501083,0.002461454,0.001173029,0.001707185,0.001281363,0.001437949,0.001350038,0.001433061,0.008149828,0.006900506,0.006125324,0.007878883,0.009337798,0.002632989,0.00214275,0.003205958,0.005826334,0.00067331,0.000997217,0.001458894,0.001751796,0.001626197,0.001301043,0.001339286,0.001830253,0.001810683,0.001721642,0.000887799,0.001597241,0.00380865,0.00380794,0.003247348,0.002861696,0.007082262,0.00531386,0.00928749,0.006724163,0.012740615,0.008106114,0.011478326,0.015267241,0.016414836,0.008695124,0.0050016,0.001571225,0.013303927,0.012476521,0.001010231,0.011550496,0.01011074,0.015547442,0.012908513,0.012427112,0.008315259,0.006190893,0.008321103,0.017915148
"7","RLX_sela_AC195130-4415",0.003030601,0.007324273,0.004795923,0.000991402,0.00158585,0.011610754,0.010261153,0.010971442,0.008867753,0.008136285,0.010951634,0.009017874,0.010649351,0.009874321,0.009347229,0.008677864,0.008049587,0.009587832,0.010628086,0.010623635,0.010309249,0.008436485,0.011504328,0.006953848,0.008354923,0.010033292,0.004478067,0.004103151,0.006274434,0.002795365,0.007381381,0.004268957,0.00322329,0.003128216,0.00070178,0.005186483,0.000817962,0.001309056,0.007979586,0.002126413,0.001351298,0.000713234,0.001141076,0.001819629,0.006419145,0.001874267,0.000939933,0.001437294,0.000777868,0.00092209,0.000748793,0.008050013,0.007144754,0.006822164,0.006177453,0.00814854,0.00803287,0.002321696,0.002734353,0.002057056,0.007244399,0.002263405,0.00130436,0.001021097,0.001580273,0.000944106,0.000758635,0.000793364,0.001162381,0.000768291,0.001003144,0.000827813,0.001989984,0.005796047,0.006820668,0.00274369,0.008269972,0.010714148,0.006685051,0.009038137,0.00671292,0.010757957,0.003658001,0.005816668,0.008191966,0.009072685,0.007178793,0.004869222,0.001395236,0.006960646,0.006897531,0.003750134,0.006756094,0.008957113,0.008833182,0.00910078,0.009286483,0.008083193,0.005299462,0.009725707,0.011054261
"8","RLC_ji_AC209892-10463",0.005845739,0.00623447,0.006529772,0.006564442,0.006328615,0.006734539,0.005381134,0.00513684,0.005862455,0.005375991,0.005850329,0.005265363,0.004995504,0.005051667,0.005157067,0.006385478,0.005614968,0.005472437,0.005402134,0.006133478,0.005603449,0.004739582,0.005060606,0.004994792,0.005445586,0.005595722,0.005777876,0.005150753,0.00509656,0.005686795,0.006166252,0.004990223,0.005833483,0.005799254,0.006018151,0.0058544,0.00645412,0.005404652,0.005072723,0.0059554,0.005134053,0.00653392,0.005928475,0.006499097,0.005197459,0.006593124,0.006527553,0.006391241,0.007421391,0.006264035,0.006436243,0.005112029,0.005815279,0.005390299,0.005543987,0.00565139,0.006002799,0.006240793,0.007636523,0.005958468,0.005397153,0.006475012,0.006415013,0.005584268,0.006694263,0.006592548,0.006512239,0.006538705,0.007000019,0.006371988,0.005861195,0.006218935,0.006679775,0.006114211,0.00636511,0.006427384,0.006170609,0.005005597,0.00614487,0.006274739,0.005363497,0.005288584,0.005576516,0.006133647,0.005735012,0.00585474,0.005593478,0.006060696,0.00664895,0.005268407,0.005935582,0.006126372,0.00544082,0.005806342,0.006355302,0.005856084,0.006269176,0.005658763,0.0056921,0.00489538,0.004954624
"9","RLX_milt_AC211742-11402",0.004740273,0.004571856,0.005005916,0.00532872,0.005382461,0.004618452,0.004612928,0.004071534,0.004671927,0.004377612,0.004331974,0.0042378,0.004231658,0.004381524,0.004387857,0.004434866,0.004604862,0.004486739,0.004290548,0.004572405,0.00436154,0.004461642,0.00434966,0.004393529,0.004481132,0.004397366,0.004792094,0.004972897,0.004840255,0.005267453,0.004639549,0.004353116,0.005033588,0.005100663,0.005177182,0.00473065,0.005157492,0.005173578,0.004358749,0.005404179,0.005326283,0.005418873,0.005382982,0.005330444,0.004630005,0.00523152,0.005672529,0.005582147,0.005297565,0.005271273,0.00519211,0.004755208,0.004726029,0.004589481,0.00478502,0.004872634,0.005046302,0.004933162,0.004921183,0.004740822,0.00501847,0.00544907,0.005230073,0.005064542,0.005534787,0.005545138,0.005486463,0.005431102,0.005511842,0.005943854,0.005332989,0.005706374,0.005082479,0.004861905,0.004840583,0.005171352,0.004742469,0.004327263,0.004856723,0.004835132,0.00470234,0.004602025,0.004892758,0.0050361,0.004148618,0.004385226,0.004580241,0.005089354,0.004900577,0.004446621,0.004937188,0.004620281,0.004391774,0.004545,0.004653326,0.004532047,0.00429019,0.004784197,0.004572461,0.004412692,0.003990523
"10","RLC_giepum_AC197531-5634",0.004762159,0.004921997,0.005357987,0.005389765,0.005348349,0.005026737,0.004727879,0.004744449,0.004787627,0.004715502,0.004844777,0.004346348,0.00442857,0.004771949,0.004555632,0.005236925,0.004683852,0.004595134,0.004487127,0.005138408,0.004738881,0.004520436,0.004401342,0.004392331,0.004402516,0.004612145,0.00471598,0.004488252,0.004529891,0.004531595,0.004659569,0.004402264,0.004853041,0.004613756,0.005119738,0.004887052,0.005757992,0.004912628,0.004581616,0.005230205,0.004950641,0.005615144,0.005187071,0.005246863,0.004585633,0.005469037,0.005848442,0.005686271,0.00587317,0.00544778,0.005423457,0.004574872,0.004980839,0.004352434,0.0048973,0.004815981,0.00478702,0.004770838,0.00551401,0.004741609,0.004698749,0.005109972,0.005891773,0.005489555,0.005849806,0.005526559,0.005424854,0.005466488,0.005478633,0.005670825,0.005392767,0.005669731,0.005142485,0.00496322,0.005368359,0.005048913,0.004800853,0.00444187,0.005031071,0.005184557,0.004956926,0.004779161,0.004781121,0.005166577,0.004745285,0.004820471,0.004924704,0.004977669,0.005214822,0.004646046,0.00529682,0.004880617,0.004511899,0.005031578,0.005422198,0.00500212,0.005321102,0.004918528,0.004662475,0.004481382,0.004297661
