"","sort(rowSums(perc_FTE), decreasing = TRUE)"
"Total",288
"*",237.534666834454
"RLG_xilon-diguus_AC203313-7774",5.12146665295572
"RLX_osed_AC191084-2931",5.09282700058626
"RLG_doke_AC197224-5479",2.54211416562522
"RLC_ji_AC186528-1508",2.43604553039154
"RLC_giepum_AC211251-11074",2.33801711606064
"RLX_sari_AC184117-11",2.13925791344702
"RLX_sela_AC195130-4415",1.97905296593134
"RLC_ji_AC209892-10463",1.61870897933325
"RLX_milt_AC211742-11402",1.3851206423386
"RLC_giepum_AC197531-5634",1.33915688385222
"DTC_ZM00081_consensus",1.10515185928083
"RLC_opie_AC210610-10772",0.929570391524824
"RLG_tekay_AC211245-11065",0.880775670380007
"RLG_uwum_AC190887-2701",0.829925091578356
"RLC_neha_AC215285-13046",0.666416396239271
"RLG_lata_AC191117-2960",0.571969616282118
"RLG_puck_AC208456-9876",0.547235564421282
"RLX_teki_AC202867-7492",0.5418725868369
"RLX_ubow_AC194933-4355",0.529263086335786
"RLG_grande_AC200214-6803",0.510735571827484
"RLC_wiwa_AC191531-3153",0.484860148862506
"RLC_doke_AC186158-1307",0.472949782040257
"RLG_tekay_AC200856-6996",0.418573224683141
"RLG_guhis_AC198413-5999",0.404250227421854
"RLX_iwik_AC203371-7824",0.389024931006659
"RLG_uwum_AC177933-415",0.378006433724987
"DTC_ZM00101_consensus",0.373321040694451
"RLG_CRM4_AC206864-9376",0.362525867941202
"RLG_uwum_AC213069-12092",0.355761274656814
"RLX_vegu_AC190718-85",0.320402006380647
"RLG_cinful-zeon_AC193672-3742",0.300782078762099
"DTM_Zm00743_AC177943-1",0.278512326457994
"RLC_dijap_AC211466-11198",0.273305383972425
"RLG_pebi_AC207888-9755",0.257682362023519
"RLC_eninu_AC191055-2893",0.229205734475207
"RLX_CRM2_AC206920-9397",0.227967683408084
"RLG_gyma_AC212146-11616",0.221683986138902
"RLG_huck_AC208546-9913",0.219385230452287
"RLX_baso_AC192251-3423",0.209169249629067
"RLC_gudyeg_AC206942-9404",0.208159059550992
"RLX_naseup_AC196428-5108",0.204855794817958
"RLG_prem1_AC206253-9147",0.204793238750428
"RLG_xilon-diguus_AC185317-1058",0.203819261070883
"RLG_cinful-zeon_AC203004-7602",0.193804276586191
"RLG_ywyt_AC209975-10517",0.187225491902739
"RLX_yreud_AC198385-5976",0.184579107568834
"RLG_prem1_AC186287-1362",0.18438002350952
"DTM_Zm00665_AC184764-1",0.165311461516703
"DTC_ZM00013_consensus",0.159477671593033
"RLC_opie_AC201793-7083",0.156372040344445
"RLX_avahi_AC191363-3084",0.138423545744501
"RLX_CRM3_AC200048-6717",0.124397181649652
"RLC_ji_AC215728-13156",0.121679064945757
"RLX_milt_AC209648-10275",0.121550204195338
"RLC_machiavelli_AC200490-6883",0.118971518842928
"RLC_ji_AC195394-4599",0.114866874426032
"DTM_Zm00268_AC191380-1",0.114021119375874
"RLG_gyma_AC189750-2238",0.109802087239898
"DTM_Zm00030_AC190592-1",0.107487267186714
"RLC_giepum_AC211155-11010",0.105509554039131
"RLX_bene_AC198379-5969",0.10475927047913
"DTC_ZM00014_consensus",0.104016028818929
"RLX_hutu_AC210780-10851",0.10169897766096
"DHH_Hip2_2",0.10123267223382
