"","sort(rowSums(landragg), decreasing = TRUE)"
"Total",102101767
"*",83.557060052
"RLG_xilon-diguus_AC203313-7774",1.847986871
"RLX_osed_AC191084-2931",1.448116626
"RLG_doke_AC197224-5479",0.895913661
"RLC_ji_AC186528-1508",0.869744519
"RLC_giepum_AC211251-11074",0.836227544
"RLX_sari_AC184117-11",0.692009329
"RLC_ji_AC209892-10463",0.593658664
"RLX_sela_AC195130-4415",0.56806964
"RLC_giepum_AC197531-5634",0.502481017
"RLX_milt_AC211742-11402",0.488979947
"DTC_ZM00081_consensus",0.390802085
"RLC_opie_AC210610-10772",0.360606553
"RLG_tekay_AC211245-11065",0.3141458
"RLG_uwum_AC190887-2701",0.28420971
"RLC_neha_AC215285-13046",0.240418997
"RLG_lata_AC191117-2960",0.202756989
"RLX_ubow_AC194933-4355",0.191008141
"RLG_puck_AC208456-9876",0.190369204
"RLX_teki_AC202867-7492",0.183664391
"RLG_grande_AC200214-6803",0.174884645
"RLC_doke_AC186158-1307",0.167363704
"RLC_wiwa_AC191531-3153",0.167079592
"RLG_tekay_AC200856-6996",0.152233909
"RLG_guhis_AC198413-5999",0.146822974
"RLX_iwik_AC203371-7824",0.139537357
"DTC_ZM00101_consensus",0.136789374
"RLG_CRM4_AC206864-9376",0.130415013
"RLG_uwum_AC177933-415",0.127917515
"RLG_uwum_AC213069-12092",0.125613213
"RLX_vegu_AC190718-85",0.115361768
"RLG_cinful-zeon_AC193672-3742",0.109066013
"RLX_CRM2_AC206920-9397",0.098745023
"DTM_Zm00743_AC177943-1",0.096930684
"RLG_pebi_AC207888-9755",0.09404013
"RLC_dijap_AC211466-11198",0.088446818
"RLC_eninu_AC191055-2893",0.081712183
"RLG_gyma_AC212146-11616",0.077508892
"RLG_huck_AC208546-9913",0.074821052
"RLG_prem1_AC206253-9147",0.074658411
"RLX_baso_AC192251-3423",0.07464101
"RLX_naseup_AC196428-5108",0.073476688
"RLC_gudyeg_AC206942-9404",0.072206062
"RLG_xilon-diguus_AC185317-1058",0.070500059
"RLG_cinful-zeon_AC203004-7602",0.067459077
"RLG_ywyt_AC209975-10517",0.066900407
"RLG_prem1_AC186287-1362",0.066326247
"RLX_yreud_AC198385-5976",0.063239096
"DTM_Zm00665_AC184764-1",0.058923626
"DTC_ZM00013_consensus",0.057386419
"RLC_opie_AC201793-7083",0.055218578
"RLX_avahi_AC191363-3084",0.051482808
"RLC_ji_AC195394-4599",0.047007363
"RLC_machiavelli_AC200490-6883",0.045204776
"RLX_milt_AC209648-10275",0.04378013
"RLC_giepum_AC211155-11010",0.041289826
"DTM_Zm00268_AC191380-1",0.041224808
"RLG_gyma_AC189750-2238",0.039706761
"RLC_ji_AC215728-13156",0.039485754
"DTC_ZM00014_consensus",0.03851011
"DTM_Zm00030_AC190592-1",0.037249863
"RLX_hutu_AC210780-10851",0.036755337
"RLX_CRM3_AC200048-6717",0.036700742
"RLX_bene_AC198379-5969",0.035684222
"RLC_fourf_AC202975-7570",0.034930835
"DHH_Hip2_2",0.034628917
"DTM_Zm00628_AC207419-1",0.034128345
"RLG_CRM4_AC201761-7053",0.033932384
"RLG_prem1_AC200740-6986",0.031551026
"DTM_Zm02117_AC177838-1",0.031021271
"RLG_huck_AC208842-10038",0.030683579
"RLG_prem1_AC215184-12949",0.029878603
"DTC_ZM00105_consensus",0.028511371
"RLC_opie_AC198173-5898",0.0274988398
"RLC_stonor_AC212476-11849",0.026876676
"RLG_cinful-zeon_AC198933-6214",0.026215372
"RLX_naiba_AC195481-139",0.025851477
"DTC_ZM00034_consensus",0.025805054
"RLG_flip_AC193970-3791",0.024064398
"DTH_ZM00035_consensus",0.023128701
"DTC_ZM00122_consensus",0.022436948
"RLG_flip_AC208040-9765",0.020480194
"DTC_ZM00028_consensus",0.0202615918
"DTM_Zm02731_AC194595-1",0.020185473
"DHH_Hip2_1",0.019950682
"DTC_ZM00045_consensus",0.019672038
"RLX_wihov_AC205351-8739",0.019053128
"DTC_ZM00106_consensus",0.019037827
"DTM_Zm00364_AC196271-1",0.01863209
"RLX_name_AC197689-5725",0.018218118
"RLG_prem1_AC191715-3282",0.018144168
"RLC_nuhan_AC206272-9161",0.01794626
"RLC_debeh_AC177840-246",0.017850332
"RLG_huck_AC210804-10865",0.017382612
"DTC_ZM00108_consensus",0.017359162
"DTC_ZM00051_consensus",0.017198009
"RLG_puck_AC211927-11478",0.0168833903
"RIL_nubo_AC212389-0",0.016637705
"DTM_Zm07209_AC211743-1",0.016523818
"RLG_flip_AC213672-12280",0.0164553492
"RLX_ruda_AC202870-7495",0.0161068393
"RIL_okor_AC198695-0",0.016097435
"RLG_cinful-zeon_AC211144-11003",0.015856558
"RLG_puck_AC215312-13067",0.0151981991
"DTM_Zm00850_AC186314-1",0.0148932203
"RLX_bumy_AC216354-13379",0.0144582126
"RLG_huck_AC194973-4393",0.0141677895
"DTC_ZM00094_consensus",0.014084407
"DHH_Hip1_26",0.0140054158
"RLC_ibulaf_AC186801-1662",0.0137253352
"DHH_Hip1_1",0.0134237381
"DHH_Hip1_28",0.0128749411
"RLG_prem1_AC201801-7095",0.0127767588
"RLG_cinful-zeon_AC211573-11290",0.0125047253
"DTH_ZM00004_consensus",0.0112013898
"DTC_ZM00015_consensus",0.011181095
"RIL_okor_AC205906-0",0.0110319194
"DTH_ZM00021_consensus",0.0110196527
"DTH_ZM00409_consensus",0.0107974991
"RLG_gyma_AC198939-6228",0.0106898834
"RLX_loukuv_AC197842-5799",0.0105532391
"RLG_bygum_AC188125-2053",0.0104737597
"RIT_colonist_AC209460-0",0.0101172269
"RLC_totu_AC194464-4142",0.0100165388
"DTC_ZM00063_consensus",0.0098765368
"DTA_ZM00283_consensus",0.0098385756
"DTA_ZM00383_consensus",0.0098038939
"DTA_ZM00024_consensus",0.0097804386
"RIL_afeda_AC208414-0",0.0093945644
"RIL_yliij_AC206507-0",0.0093272671
"DTA_ZM00025_consensus",0.0091008799
"RIL_oviev_AC204897-0",0.0086425613
"RIL_gugyve_AC194248-0",0.0086401449
"RLX_ruda_AC195952-4839",0.0085157269
"DTC_ZM00107_consensus",0.0084959721
"RIL_jikeuf_AC211152-0",0.0082663357
"RLC_donuil_AC196196-5026",0.0082494121
"DTC_ZM00038_consensus",0.0081907789
"RIL_loneok_AC193379-0",0.0080100477
"DTA_ZM00373_consensus",0.0080013921
"RLG_xilon-diguus_AC195486-4629",0.007907258
"DTA_ZM00254_consensus",0.007833608
"RLG_prem1_AC184142-802",0.0078162976
"DTH_ZM00032_consensus",0.0077888519
"DTM_Zm00473_AC191070-1",0.0077630136
"DTA_ZM00041_consensus",0.0077559976
"DTA_ZM00169_consensus",0.0076349275
"DTC_ZM00030_consensus",0.0074734415
"RIL_ekeje_AC197537-0",0.0072219686
"RLC_bihar_AC195875-4766",0.0071801792
"RLX_defub_AC191393-106",0.0069785041
"RLG_gyte_AC207411-9568",0.0069260564
"RLX_ugymos_AC182443-149",0.0068950731
"RIL_keneat_AC209697-0",0.0068386275
"RLG_cinful-zeon_AC215255-13029",0.0068173155
"RLC_opie_AC185480-1137",0.0067811265
"DTM_Zm03556_AC177900-1",0.0067697828
"RIL_koajav_AC205853-0",0.0066930345
"RLX_hiimam_AC207734-9687",0.0066588221
"DTH_ZM00412_consensus",0.006619591
"RIL_leijoh_AC212369-0",0.0065967822
"RLC_hesa_AC204349-8207",0.0065524977
"RIL_etiti_AC211734-0",0.0065424748
"RLG_huck_AC213612-12218",0.0065327796
"RLX_tuteh_AC183372-584",0.0064996454
"RIT_jare_AC204843-0",0.0064673805
"DTH_ZM00471_consensus",0.0063748661
"RLC_opie_AC211653-11340",0.0063732907
"DTH_ZM00385_consensus",0.0063495704
"DTH_ZM00018_consensus",0.0063053339
"DTA_ZM00035_consensus",0.0062641947
"RLX_kawivo_AC186793-30",0.0062005616
"RLC_ji_AC204382-8228",0.0061202975
"RLG_gyma_AC206653-9288",0.0060957996
"DTA_ZM00027_consensus",0.0060808288
"RST_ZmSINE2_1_consensus-0",0.0060193192
"DTA_ZM00229_consensus",0.0059562545
"DTM_Zm02661_AC177816-1",0.0058310659
"RIL_ejoet_AC212216-0",0.00575649273
"DTC_ZM00093_consensus",0.0057221131
"DTM_Zm02785_AC190936-1",0.0057102066
"RLG_gyma_AC190530-2365",0.0056751798
"DTH_ZM00051_consensus",0.005670387
"RIL_edaej_AC215611-0",0.0056506442
"RLX_kahoba_AC186618-29",0.0056351172
"DTA_ZM00012_consensus",0.0056030448
"RLC_raider_AC209705-10304",0.0055421024
"DTH_ZM00012_consensus",0.0053984497
"RLG_gyma_AC197250-5506",0.0053522656
"RIL_nugimu_AC203843-0",0.0053353192
"DTA_ZM00033_consensus",0.0053131799
"DTA_ZM00026_consensus",0.0052680585
"DTA_ZM00217_consensus",0.0052588887
"RLG_prem1_AC212325-11702",0.005209152
"RLG_ewib_AC198384-5975",0.0051958442
"DTA_ZM00179_consensus",0.0051560557
"RLC_ebel_AC213044-12072",0.0050723499
"DTA_ZM00028_consensus",0.0050425158
"RLX_ojah_AC184792-875",0.0049931956
"DTA_ZM00023_consensus",0.00496616
"DTM_Zm00257_consensus",0.0049378038
"DTM_Zm01468_AC186160-1",0.0048987389
"DTA_ZM00231_consensus",0.0048208051
"DTA_ZM00346_consensus",0.0047974309
"RLG_apil_AC198662-6085",0.0047698953
"RLG_ubid_AC210086-10583",0.0047430305
"RLX_uwub_AC195372-161",0.0047262495
"RIL_totyru_AC203014-0",0.0046807659
"DTC_ZM00060_consensus",0.0045878074
"DTH_ZM00025_consensus",0.0045869093
"DTA_ZM00182_consensus",0.0045812645
"RLG_bosohe_AC205838-9025",0.0045534899
"RIL_ijij_AC200508-0",0.0045439685
