FullID,PopID,AB10Freq,ab10round,Species,Region,Group,Altitude,1C_GS,Total_Reads,Total_corr,180knobreads,180knob%,180knobMB,180knobuncorMB,TR1total,TR1%,TR1MB,TR1uncorMB,CentCreads,CentC%,CentCMB,CentCuncorMB,Cpreads,CP%,CPMB,CPuncorMB,mtreads,mt%,mtMB,mtuncorMB,cDNAreads,cDNA%,cDNAMB,cDNAuncorMB,TotallTereads,TotallTe%,TotallTeMB,TotallTeuncorMB,TotFTereads,TotFTe%,TotFTeMB,TotFTeuncorMB
RIMPA0071.avg,RIMPA0071,0,0,parviglumis,ML,1,985,3.05,1358040.273,1251163.121,82297.45455,6.697823937,204.2836301,188.8693825,16560.45455,1.326888103,40.47008714,37.34616499,5371.909091,0.431764626,13.16882108,12.17126029,106983.3636,7.90722818,241.1704595,221.7022164,42451.81818,3.116646876,95.05772973,87.41509366,64425.33333,5.161355345,157.421338,145.4115437,840549.1818,67.50727598,2058.971917,1902.236402,237805.2727,3752025.531,585.3043719,540.7583244
RIMPA0086.avg,RIMPA0086,0.333333333,0.333333333,parviglumis,ML,1,982,2.9775,1618261.6,1518351.033,98006.3,6.532746626,194.5125308,181.933583,13642.8,0.902401671,26.86900977,25.14060793,6881.9,0.456407007,13.58951863,12.71413966,71179.8,4.770298492,142.0356376,132.7333447,32352.2,2.176276671,64.79863789,60.56931741,67558.36667,4.665767716,138.9232337,129.821803,1042489.1,68.66380422,2044.464771,1913.943371,287522.2,4532643.004,563.9948122,527.9475733
RIMPA0087.avg,RIMPA0087,0.166666667,0.166666667,parviglumis,ML,1,590,2.805,1482299.833,1365709.875,26090.33333,1.873057016,52.53924929,48.38168136,13828.83333,1.056542417,29.63601479,27.24469894,5920.416667,0.428594662,12.02208026,11.05530609,91987.25,7.432894749,208.4926977,190.9877581,40894.83333,3.265936169,91.60950953,83.92205802,75695.125,5.520925811,154.861969,142.3640694,956383.8333,69.51812372,1949.98337,1792.988096,249783.1667,13870178.37,511.3215251,470.1375042
RIMPA0096.avg,RIMPA0096,0,0,parviglumis,ML,1,1528,3.0375,928772,857161.8194,75660.66667,8.951291907,271.8954917,250.7181504,12782.41667,1.497228673,45.47832094,41.93402346,4031.5,0.472636729,14.35634065,13.23555918,79688.08333,9.528774211,289.4365167,266.5931593,31541.83333,3.701324893,112.4277436,103.5602997,40068.34722,4.776410405,145.083466,133.6743725,556060.5,64.62872995,1963.097672,1809.839529,162919.0833,1875469.039,576.8358128,531.816469
RIMPA0135.avg,RIMPA0135,0.25,0.25,parviglumis,ML,1,880,3.1475,1261446,1149879.217,91160.1,7.996420549,251.6873368,229.219828,22228.2,1.871568432,58.9076164,53.67187697,4642.3,0.414316488,13.04061146,11.86867964,143360.2,12.77719816,402.162312,365.6828018,58201.4,5.118330829,161.0994628,146.5493901,53365.38333,4.713481542,148.3568315,134.8734197,748792.4,64.85514825,2041.315791,1858.939351,222889.2,2845402.691,608.0709246,553.7521719
RIMPA0142.avg,RIMPA0142,0,0,parviglumis,ML,1,1103,3.115,1360346.5,1247262.986,94809,7.722571375,240.5580983,220.8655023,6900.25,0.571606475,17.8055417,16.38054075,5335.416667,0.431056404,13.42740699,12.32890373,136120.5,10.93453955,340.6109069,312.2219038,55872.66667,4.374282641,136.2589043,124.8764343,57210.84722,4.560487794,142.0591948,130.2158517,815590.4167,65.25354047,2032.647786,1866.362082,223377.5,2986023.351,558.3206559,512.6484413
RIMME0021.avg,RIMME0021,,,mexicana,MH,1,2094,3.0325,975863.5,905493.9583,97143.75,10.87630167,329.8238482,306.1022842,9656.333333,1.117374766,33.88438977,31.44933929,4464.75,0.488143014,14.80293691,13.73437603,56981,6.375639136,193.3412568,179.3222782,23265.08333,2.582813038,78.32380538,72.64033409,47104.45833,5.194458796,157.521963,146.1488864,607388,67.02083279,2032.406754,1885.765495,183843.1667,1728054.345,618.1230314,573.5413097
RIMMME026.avg,RIMMME026,0.333333333,0.333333333,mexicana,MH,1,2214,3.08,916375.5,851086.3194,97267.91667,11.49180666,353.9476452,328.9994515,3126.333333,0.371718557,11.44893155,10.64355329,3666.833333,0.42113834,12.97106088,12.0530975,53878.25,6.135530018,188.9743246,175.5405727,20992.66667,2.383918418,73.42468729,68.2104289,44296.51389,5.196746071,160.059779,148.780029,566031.6667,66.52570779,2048.9918,1904.678668,169408.4167,1496963.191,613.1660322,569.9642807
RIMME0028.avg,RIMME0028,0.25,0.25,mexicana,MH,1,1916,2.795,1483805.833,1380340.833,124000.0833,9.04928567,252.9275345,235.8633481,16004.83333,1.141176343,31.89587879,29.72786815,6749.416667,0.49089532,13.7205242,12.78735635,81257.66667,5.669707775,158.4683323,147.389765,32635.5,2.27331578,63.53917605,59.09728197,70829.5,5.071158388,141.738877,132.0076317,918868.4167,66.50337463,1858.769321,1731.638395,263078.6667,3076989.966,531.7570381,495.4260876
RIMME0029.avg,RIMME0029,0.166666667,0.166666667,mexicana,MH,1,1547,2.76,851030.0833,784419.8472,47894.5,6.378347888,176.0424017,162.652555,6583,0.800933421,22.10576242,20.39835093,3992.083333,0.49689851,13.71439889,12.66119895,64573.41667,7.899748019,218.0330453,201.1385339,24927.58333,3.01355961,83.17424525,76.72767701,41682.65278,5.282398095,145.7941874,134.6226261,520698.25,66.28055769,1829.343392,1689.285046,145151.1667,2460288.566,510.9127229,471.8012655
