"","x"
"1","id"
"2","RIMMA0388.1"
"3","RIMMA0389.1"
"4","RIMMA0390.1"
"5","RIMMA0391.1B"
"6","RIMMA0392.1"
"7","RIMMA0393.1"
"8","RIMMA0394.2"
"9","RIMMA0395.2"
"10","RIMMA0396.1"
"11","RIMMA0397.1"
"12","RIMMA0398.1"
"13","RIMMA0399.1"
"14","RIMMA0403.2"
"15","RIMMA0404.1"
"16","RIMMA0405.1B"
"17","RIMMA0406.1"
"18","RIMMA0407.1"
"19","RIMMA0409.1"
"20","RIMMA0410.1B"
"21","RIMMA0416.1"
"22","RIMMA0417.1"
"23","RIMMA0418.1"
"24","RIMMA0421.1"
"25","RIMMA0422.1"
"26","RIMMA0423.1"
"27","RIMMA0424.1"
"28","RIMMA0425.1"
"29","RIMMA0426.1"
"30","RIMMA0428.1"
"31","RIMMA0430.1"
"32","RIMMA0431.1"
"33","RIMMA0433.1"
"34","RIMMA0436.1"
"35","RIMMA0437.1"
"36","RIMMA0438.1"
"37","RIMMA0439.1"
"38","RIMMA0441.1"
"39","RIMMA0462.1"
"40","RIMMA0464.1"
"41","RIMMA0465.1"
"42","RIMMA0466.1"
"43","RIMMA0467.1"
"44","RIMMA0468.1"
"45","RIMMA0473.1"
"46","RIMMA0614.1"
"47","RIMMA0615.1"
"48","RIMMA0616.1"
"49","RIMMA0619.1"
"50","RIMMA0620.1"
"51","RIMMA0621.1"
"52","RIMMA0623.1"
"53","RIMMA0625.1"
"54","RIMMA0626.1"
"55","RIMMA0628.1"
"56","RIMMA0630.1"
"57","RIMMA0656.1"
"58","RIMMA0657.1"
"59","RIMMA0658.1"
"60","RIMMA0661.1"
"61","RIMMA0662.1"
"62","RIMMA0663.1"
"63","RIMMA0664.1"
"64","RIMMA0665.1"
"65","RIMMA0667.1"
"66","RIMMA0670.1"
"67","RIMMA0671.1"
"68","RIMMA0672.1"
"69","RIMMA0674.1"
"70","RIMMA0677.1"
"71","RIMMA0680.1"
"72","RIMMA0682.1"
"73","RIMMA0687.1"
"74","RIMMA0690.1"
"75","RIMMA0691.1"
"76","RIMMA0696.1"
"77","RIMMA0700.1"
"78","RIMMA0701.1"
"79","RIMMA0702.1"
"80","RIMMA0703.1"
"81","RIMMA0707.1"
"82","RIMMA0708.1"
"83","RIMMA0709.1"
"84","RIMMA0710.1"
"85","RIMMA0712.1"
"86","RIMMA0716.1"
"87","RIMMA0720.1"
"88","RIMMA0721.1"
"89","RIMMA0722.1"
"90","RIMMA0727.1"
"91","RIMMA0729.1"
"92","RIMMA0730.1"
"93","RIMMA0731.1"
"94","RIMMA0733.1"
"95","RIMMA0668.1"
"96","RIMPA0086.01"
"97","RIMPA0086.02"
"98","RIMPA0086.03"
"99","RIMPA0086.04"
"100","RIMPA0086.06"
