Ind,Pop,species,genomesize,altitude,group
C11).3 ,RIMME0021,mexicana,6.12,2094,b
C2).3 ,RIMME0021,mexicana,6.01,2094,b
C3).3,RIMME0026,mexicana,6.21,2214,b
C8).3,RIMME0026,mexicana,6.11,2214,b
I).1 ,RIMME0028,mexicana,5.65,1916,b
M).1 ,RIMME0028,mexicana,5.53,1916,b
D).1 ,RIMME0029,mexicana,5.46,1547,b
Q).1 ,RIMME0029,mexicana,5.58,1547,b
C).1 ,RIMME0030,mexicana,5.98,2458,b
P).1 ,RIMME0030,mexicana,5.8,2458,b
I).1 ,RIMME0031,mexicana,6.26,2609,b
O).1 ,RIMME0031,mexicana,6.39,2609,b
F).1,RIMME0032,mexicana,5.63,2016,b
J).1,RIMME0032,mexicana,5.73,2016,b
H).1,RIMME0033,mexicana,5.43,1657,b
O).1,RIMME0033,mexicana,5.44,1657,b
D).1,RIMME0034,mexicana,5.56,2173,b
G).1,RIMME0034,mexicana,5.38,2173,b
B).1,RIMME0035,mexicana,6.18,2237,b
F).1,RIMME0035,mexicana,6.46,2237,b
18,RIMPA0071,parviglumis,6.1,985,a
19,RIMPA0071,parviglumis,6.1,985,a
14,RIMPA0086,parviglumis,6.01,982,a
15,RIMPA0086,parviglumis,5.9,982,a
13,RIMPA0087,parviglumis,5.59,590,a
14,RIMPA0087,parviglumis,5.63,590,a
18,RIMPA0096,parviglumis,6.12,1528,a
19,RIMPA0096,parviglumis,6.03,1528,a
14,RIMPA0135,parviglumis,6.25,880,a
15,RIMPA0135,parviglumis,6.34,880,a
15,RIMPA0142,parviglumis,6.33,1103,a
16,RIMPA0142,parviglumis,6.13,1103,a
C19).2,RIMPA0155,parviglumis,6.02,NA,a
C31).2,RIMPA0155,parviglumis,5.98,NA,a
C40).2,RIMPA0156,parviglumis,6.11,NA,a
C6).2 ,RIMPA0156,parviglumis,6.2,NA,a
C30).2 ,RIMPA0157,parviglumis,5.94,NA,a
C8).2,RIMPA0157,parviglumis,6.08,NA,a
C12).2 ,RIMPA0158,parviglumis,6.06,NA,a
C7).2 ,RIMPA0158,parviglumis,6.11,NA,a
