location,alt,knob180,tr1,180knobmb,tr1mb,circle,group
michoacan_ixtlan,1547,13,7,176.0424017,22.10576242,a,1
michoacan_ixtlan,1547,13,9,176.0424017,22.10576242,a,1
morelos_amatlan,1657,14,9,198.8680543,15.86593261,b,1
morelos_amatlan,1657,13,7,198.8680543,15.86593261,b,1
puruandiro,1916,18,11,252.9275345,31.8958788,b,1
puruandiro,1916,18,9,252.9275345,31.8958788,b,1
nabogame,2016,8,3,96.58254222,5.567652479,b,1
nabogame,2016,7,4,96.58254222,5.567652479,b,1
porverir,2094,16,8,329.8238482,33.88438977,b,1
porverir,2094,16,10,329.8238482,33.88438977,b,1
santaclara,2173,6,3,138.4850438,8.373765868,b,1
santaclara,2173,8,3,138.4850438,8.373765868,b,1
michoacan_opopeo,2214,20,6,353.9476452,11.44893155,b,1
michoacan_opopeo,2214,22,8,353.9476452,11.44893155,b,1
df_xochimilco,2237,21,10,464.1247336,24.44667726,b,1
df_xochimilco,2237,21,8,464.1247336,24.44667726,b,1
puebla_sanpedro,2458,15,5,329.8315705,13.45449454,b,1
puebla_sanpedro,2458,15,6,329.8315705,13.45449454,b,1
tenango,2609,21,7,459.9628895,18.07866898,a,1
tenango,2609,19,7,459.9628895,18.07866898,a,1
