Originalname	Chromosome	B73RefGen_v2position(bp)
abph1.15	2	27482871
abph1.22	2	27482777
ae1.4	5	168468333
ae1.8	5	168463281
an1.3	1	241222672
ba1.5	3	183084768
ba1.6	3	183084850
ba1.7	3	183085021
bt-000002007	4	58956243
bt2.2	4	58959782
bt2.4	4	58958602
bt2.5	4	58957188
bt2.8	4	58956482
csu1138.3	1	120194613
csu1138.4	1	120194710
csu1171.2	1	14638947
d8.2	1	266096154
Fea2.2	4	133662781
fea2.3	4	133663063
Fea2.5	4	133663191
lg2.12	3	176805947
MZB00125.2	4	21138423
pbf1.3	2	153512659
pbf1.5	2	153512386
pbf1.6	2	153511544
pbf1.7	2	153510870
PHM10525.11	8	126077546
PHM1190.3	6	120132772
PHM11946.19	9	9967786
PHM11985.27	6	147224252
PHM12153.9	3	57934122
PHM12527.5	9	21580957
PHM12633.15	1	103826700
PHM12693.8	1	224100648
PHM12830.14	7	82649308
PHM12904.7	6	89827802
PHM12952.13	2	4894286
PHM1317.17	1	298408878
PHM13440.11	2	2539982
PHM13451.15	6	119200653
PHM13473.12	3	42889686
PHM13493.12	8	167092756
PHM13619.5	1	22253283
PHM13639.13	5	215833552
PHM13687.14	10	117991482
PHM13696.11	5	176123957
PHM13742.5	3	215181142
PHM13823.7	3	40322831
PHM14055.6	4	53441525
PHM14235.14	4	3411940
PHM14235.15	4	3412000
PHM14235.17	4	3412057
PHM1438.34	1	212984101
PHM14412.4	2	202955053
PHM14499.11	10	16573695
PHM14671.9	5	5325811
PHM14717.2	4	40699977
PHM14783.16	2	9985381
PHM1506.18	10	148972870
PHM15251.3	6	152973272
PHM15278.6	8	156724363
PHM15331.16	10	10882576
PHM15501.9	7	30680938
PHM15623.10	8	161188668
PHM15784.5	8	135457090
PHM15864.8	4	151538378
PHM15899.9	3	44223736
PHM1599.84	9	137848524
PHM1626.34	3	156482775
PHM16607.11	6	160034541
PHM16871.6	10	29222679
PHM1699.29	1	7864116
PHM18195.6	10	106953191
PHM1870.20	5	60002398
PHM1871.19	9	28399313
PHM2094.31	2	211395934
PHM229.15	9	30074592
PHM2306.39	1	287063271
PHM2343.25	3	28334398
PHM2691.32	7	8061660
PHM2885.31	3	167473009
PHM3075.15	3	191612649
PHM3147.18	1	182092894
PHM3213.11	8	165729385
PHM3226.15	1	22596124
PHM3309.8	2	5839907
PHM3334.4	2	5064693
PHM3342.31	3	217695856
PHM343.7	3	1292016
PHM3466.69	6	167033881
PHM3587.6	4	52098226
PHM3691.15	5	38485027
PHM3714.12	5	2926821
PHM3922.32	10	17678972
PHM4080.15	7	20247641
PHM4185.17	1	83780916
PHM424.13	2	208227064
PHM4339.79	3	145730231
PHM4348.16	4	191767453
PHM4495.14	9	26819302
PHM4560.54	8	164859744
PHM482.27	2	11201284
PHM4870.7	6	127127047
PHM4901.9	4	26614895
PHM5060.12	2	193644607
PHM5098.25	1	67646946
PHM5306.16	1	77242138
PHM532.23	5	193730972
PHM5361.13	6	166592099
PHM5529.4	6	167018795
PHM5529.7	6	167018912
PHM5780.15	4	231974950
PHM5798.39	5	71846725
PHM597.12	6	157819021
PHM6428.11	8	22392417
PHM656.16	3	173698777
PHM6608.5	7	150661220
PHM6795.5	5	44407599
PHM6822.4	10	26987438
PHM720.29	1	284010536
PHM789.16	5	6823518
PHM7916.4	9	137161060
PHM7931.5	9	150197564
PHM7953.11	2	198859433
PHM8499.24	1	298689556
PHM9009.13	5	29992271
PHM9266.21	10	80719153
PHM9266.23	10	80719215
PHM9266.25	10	80719268
PHM9374.5	9	17750933
PHM9418.11	1	97678287
PHM9676.10	5	10102061
PHM9695.9	8	12285952
PHM9914.11	3	161257992
PUT-163a-101381786-1	8	138143276
PUT-163a-101382577-3	4	235077523
PUT-163a-101384373-4	3	230607124
PUT-163a-101384606-6	3	145763754
PUT-163a-101387821-12	3	216345579
PUT-163a-101388839-14	1	45513535
PUT-163a-101389210-15	8	152766279
PUT-163a-101389953-18	9	28620000
PUT-163a-101390185-21	1	17655683
PUT-163a-101393073-23	4	119701702
PUT-163a-101396692-24	10	147001067
PUT-163a-101396692-29	10	147000971
PUT-163a-101398342-33	9	49177301
PUT-163a-101398764-36	2	8898011
PUT-163a-101399336-39	1	216928911
PUT-163a-101401543-40	3	178603139
PUT-163a-110194326-44	2	236046926
PUT-163a-110194326-51	2	236047048
PUT-163a-110195977-54	5	20773370
PUT-163a-110195977-56	5	20772972
PUT-163a-110201780-59	3	210272822
PUT-163a-110202795-62	3	134289326
PUT-163a-110204885-63	3	31898366
PUT-163a-110206849-64	4	20773159
PUT-163a-110206849-65	4	20773264
PUT-163a-110206849-67	4	20773256
PUT-163a-110213635-72	4	178502179
PUT-163a-110221602-76	8	172677067
PUT-163a-110221602-77	8	172677137
PUT-163a-110481268-79	1	250067201
PUT-163a-110481268-80	1	250067107
PUT-163a-110481372-81	5	162680869
PUT-163a-110481993-82	2	184013167
PUT-163a-110504512-86	2	207841911
PUT-163a-110504512-88	2	207841753
PUT-163a-110504512-89	2	207841889
PUT-163a-110507767-91	8	158113181
PUT-163a-110516422-93	10	29885487
PUT-163a-110516422-94	10	29885529
PUT-163a-110516771-95	1	285144424
PUT-163a-110517263-96	1	290523475
PUT-163a-110518051-97	10	23215344
PUT-163a-110521911-100	9	87814483
PUT-163a-110522705-103	7	155618814
PUT-163a-110522705-105	7	155618554
PUT-163a-110522705-106	7	155618521
PUT-163a-110526130-107	9	142293930
