FTE_group,FTE_length,TEdb_length,MaskingAdjustment
*,1,1,1
DHH_Hip1_1,430,1611,3.746511628
DHH_Hip1_14,80,2644,33.05
DHH_Hip1_15,76,1545,20.32894737
DHH_Hip1_26,3693,3693,1
DHH_Hip1_28,3835,4950,1.290743155
DHH_Hip1_3,97,1566,16.1443299
DHH_Hip1_43,3177,5665,1.783128738
DHH_Hip1_5,136,1571,11.55147059
DHH_Hip2_1,643,1242,1.931570762
DHH_Hip2_2,1058,1368,1.293005671
DHH_Hip2_45,299,299,1
DHH_Hip5_12,252,252,1
DHH_Hip6_2,323,419,1.297213622
DHH_Hip6_5,248,248,1
DHH_Hip7_1,1458,1458,1
DTA_ZM00001_consensus,2969,4104,1.382283597
DTA_ZM00002_consensus,2871,3070,1.069313828
DTA_ZM00004_consensus,4788,5194,1.084795322
DTA_ZM00005_consensus,783,783,1
DTA_ZM00006_consensus,1511,4016,2.657842488
DTA_ZM00007_consensus,3671,3699,1.007627349
DTA_ZM00008_consensus,1451,4161,2.867677464
DTA_ZM00009_consensus,3726,3726,1
DTA_ZM00010_consensus,2099,4036,1.922820391
DTA_ZM00011_consensus,1747,4064,2.326273612
DTA_ZM00012_consensus,4056,4056,1
DTA_ZM00013_consensus,4014,4014,1
DTA_ZM00014_consensus,3796,4344,1.144362487
DTA_ZM00015_consensus,2349,3287,1.399318859
DTA_ZM00016_consensus,3625,3816,1.052689655
DTA_ZM00017_consensus,4015,4015,1
DTA_ZM00018_consensus,2601,3539,1.360630527
DTA_ZM00019_consensus,2717,3672,1.351490615
DTA_ZM00020_consensus,3612,3766,1.042635659
DTA_ZM00021_consensus,3495,3663,1.04806867
DTA_ZM00022_consensus,3752,3752,1
DTA_ZM00023_consensus,3813,3813,1
DTA_ZM00024_consensus,4073,4073,1
DTA_ZM00025_consensus,3567,3683,1.032520325
DTA_ZM00026_consensus,3258,3770,1.157151627
DTA_ZM00027_consensus,3470,4717,1.359365994
DTA_ZM00028_consensus,2491,4011,1.610196708
DTA_ZM00029_consensus,1574,4046,2.570520966
DTA_ZM00030_consensus,1597,3644,2.281778334
DTA_ZM00031_consensus,1678,3813,2.272348033
DTA_ZM00032_consensus,1328,3484,2.623493976
DTA_ZM00033_consensus,3701,3778,1.020805188
DTA_ZM00034_consensus,3536,3602,1.018665158
DTA_ZM00035_consensus,3328,3649,1.096454327
DTA_ZM00036_consensus,2997,3428,1.143810477
DTA_ZM00037_consensus,3373,3373,1
DTA_ZM00038_consensus,3390,3390,1
DTA_ZM00039_consensus,3041,3041,1
DTA_ZM00041_consensus,3651,4439,1.215831279
DTA_ZM00042_consensus,1246,3460,2.776886035
DTA_ZM00048_consensus,537,537,1
DTA_ZM00052_consensus,787,787,1
DTA_ZM00054_consensus,629,629,1
DTA_ZM00055_consensus,551,551,1
DTA_ZM00057_consensus,164,164,1
DTA_ZM00058_consensus,154,154,1
DTA_ZM00059_consensus,638,638,1
DTA_ZM00063_consensus,1367,1743,1.275054865
DTA_ZM00064_consensus,352,352,1
DTA_ZM00067_consensus,645,645,1
DTA_ZM00068_consensus,1001,1001,1
DTA_ZM00070_consensus,90,731,8.122222222
DTA_ZM00071_consensus,3378,3378,1
DTA_ZM00072_consensus,186,186,1
DTA_ZM00075_consensus,146,146,1
DTA_ZM00076_consensus,146,146,1
DTA_ZM00077_consensus,644,918,1.425465839
DTA_ZM00079_consensus,936,936,1
DTA_ZM00080_consensus,463,955,2.062634989
DTA_ZM00081_consensus,687,687,1
DTA_ZM00082_consensus,444,444,1
DTA_ZM00084_consensus,299,732,2.448160535
DTA_ZM00085_consensus,910,1180,1.296703297
DTA_ZM00088_consensus,985,985,1
DTA_ZM00089_consensus,434,851,1.960829493
DTA_ZM00091_consensus,146,588,4.02739726
DTA_ZM00095_consensus,624,624,1
DTA_ZM00096_consensus,467,1056,2.26124197
DTA_ZM00098_consensus,559,559,1
DTA_ZM00099_consensus,80,550,6.875
DTA_ZM00101_consensus,862,862,1
DTA_ZM00102_consensus,96,846,8.8125
DTA_ZM00103_consensus,625,625,1
DTA_ZM00105_consensus,243,243,1
DTA_ZM00106_consensus,907,907,1
