Originalname,Chromosome_B73RefGen_v2position(bp)
abph1.15,2_27482871
abph1.22,2_27482777
ae1.4,5_168468333
ae1.8,5_168463281
an1.3,1_241222672
ba1.5,3_183084768
ba1.6,3_183084850
ba1.7,3_183085021
bt-000002007,4_58956243
bt2.2,4_58959782
bt2.4,4_58958602
bt2.5,4_58957188
bt2.8,4_58956482
csu1138.3,1_120194613
csu1138.4,1_120194710
csu1171.2,1_14638947
d8.2,1_266096154
Fea2.2,4_133662781
fea2.3,4_133663063
Fea2.5,4_133663191
lg2.12,3_176805947
MZB00125.2,4_21138423
pbf1.3,2_153512659
pbf1.5,2_153512386
pbf1.6,2_153511544
pbf1.7,2_153510870
PHM10525.11,8_126077546
PHM1190.3,6_120132772
PHM11946.19,9_9967786
PHM11985.27,6_147224252
PHM12153.9,3_57934122
PHM12527.5,9_21580957
PHM12633.15,1_103826700
PHM12693.8,1_224100648
PHM12830.14,7_82649308
PHM12904.7,6_89827802
PHM12952.13,2_4894286
PHM1317.17,1_298408878
PHM13440.11,2_2539982
PHM13451.15,6_119200653
PHM13473.12,3_42889686
PHM13493.12,8_167092756
PHM13619.5,1_22253283
PHM13639.13,5_215833552
PHM13687.14,10_117991482
PHM13696.11,5_176123957
PHM13742.5,3_215181142
PHM13823.7,3_40322831
PHM14055.6,4_53441525
PHM14235.14,4_3411940
PHM14235.15,4_3412000
PHM14235.17,4_3412057
PHM1438.34,1_212984101
PHM14412.4,2_202955053
PHM14499.11,10_16573695
PHM14671.9,5_5325811
PHM14717.2,4_40699977
PHM14783.16,2_9985381
PHM1506.18,10_148972870
PHM15251.3,6_152973272
PHM15278.6,8_156724363
PHM15331.16,10_10882576
PHM15501.9,7_30680938
PHM15623.10,8_161188668
PHM15784.5,8_135457090
PHM15864.8,4_151538378
PHM15899.9,3_44223736
PHM1599.84,9_137848524
PHM1626.34,3_156482775
PHM16607.11,6_160034541
PHM16871.6,10_29222679
PHM1699.29,1_7864116
PHM18195.6,10_106953191
PHM1870.20,5_60002398
PHM1871.19,9_28399313
PHM2094.31,2_211395934
PHM229.15,9_30074592
PHM2306.39,1_287063271
PHM2343.25,3_28334398
PHM2691.32,7_8061660
PHM2885.31,3_167473009
PHM3075.15,3_191612649
PHM3147.18,1_182092894
PHM3213.11,8_165729385
PHM3226.15,1_22596124
PHM3309.8,2_5839907
PHM3334.4,2_5064693
PHM3342.31,3_217695856
PHM343.7,3_1292016
PHM3466.69,6_167033881
PHM3587.6,4_52098226
PHM3691.15,5_38485027
PHM3714.12,5_2926821
PHM3922.32,10_17678972
PHM4080.15,7_20247641
PHM4185.17,1_83780916
PHM424.13,2_208227064
PHM4339.79,3_145730231
PHM4348.16,4_191767453
PHM4495.14,9_26819302
PHM4560.54,8_164859744
PHM482.27,2_11201284
PHM4870.7,6_127127047
PHM4901.9,4_26614895
PHM5060.12,2_193644607
PHM5098.25,1_67646946
PHM5306.16,1_77242138
PHM532.23,5_193730972
PHM5361.13,6_166592099
PHM5529.4,6_167018795
PHM5529.7,6_167018912
PHM5780.15,4_231974950
PHM5798.39,5_71846725
PHM597.12,6_157819021
PHM6428.11,8_22392417
PHM656.16,3_173698777
PHM6608.5,7_150661220
PHM6795.5,5_44407599
PHM6822.4,10_26987438
PHM720.29,1_284010536
PHM789.16,5_6823518
PHM7916.4,9_137161060
PHM7931.5,9_150197564
PHM7953.11,2_198859433
PHM8499.24,1_298689556
PHM9009.13,5_29992271
PHM9266.21,10_80719153
PHM9266.23,10_80719215
PHM9266.25,10_80719268
PHM9374.5,9_17750933
PHM9418.11,1_97678287
PHM9676.10,5_10102061
PHM9695.9,8_12285952
PHM9914.11,3_161257992
PUT-163a-101381786-1,8_138143276
PUT-163a-101382577-3,4_235077523
PUT-163a-101384373-4,3_230607124
PUT-163a-101384606-6,3_145763754
PUT-163a-101387821-12,3_216345579
PUT-163a-101388839-14,1_45513535
PUT-163a-101389210-15,8_152766279
PUT-163a-101389953-18,9_28620000
PUT-163a-101390185-21,1_17655683
PUT-163a-101393073-23,4_119701702
PUT-163a-101396692-24,10_147001067
PUT-163a-101396692-29,10_147000971
PUT-163a-101398342-33,9_49177301
PUT-163a-101398764-36,2_8898011
PUT-163a-101399336-39,1_216928911
PUT-163a-101401543-40,3_178603139
PUT-163a-110194326-44,2_236046926
PUT-163a-110194326-51,2_236047048
PUT-163a-110195977-54,5_20773370
PUT-163a-110195977-56,5_20772972
PUT-163a-110201780-59,3_210272822
PUT-163a-110202795-62,3_134289326
PUT-163a-110204885-63,3_31898366
PUT-163a-110206849-64,4_20773159
PUT-163a-110206849-65,4_20773264
PUT-163a-110206849-67,4_20773256
PUT-163a-110213635-72,4_178502179
PUT-163a-110221602-76,8_172677067
PUT-163a-110221602-77,8_172677137
PUT-163a-110481268-79,1_250067201
PUT-163a-110481268-80,1_250067107
PUT-163a-110481372-81,5_162680869
PUT-163a-110481993-82,2_184013167
PUT-163a-110504512-86,2_207841911
PUT-163a-110504512-88,2_207841753
PUT-163a-110504512-89,2_207841889
PUT-163a-110507767-91,8_158113181
PUT-163a-110516422-93,10_29885487
PUT-163a-110516422-94,10_29885529
PUT-163a-110516771-95,1_285144424
PUT-163a-110517263-96,1_290523475
PUT-163a-110518051-97,10_23215344
PUT-163a-110521911-100,9_87814483
PUT-163a-110522705-103,7_155618814
PUT-163a-110522705-105,7_155618554
PUT-163a-110522705-106,7_155618521
PUT-163a-110526130-107,9_142293930
